"Index","OMER.Close"
2009-10-08,8.73
2009-10-09,8.46
2009-10-12,8.41
2009-10-13,7.47
2009-10-14,7.44
2009-10-15,7.03
2009-10-16,6.88
2009-10-19,7
2009-10-20,6.82
2009-10-21,6.91
2009-10-22,6.93
2009-10-23,6.58
2009-10-26,6.45
2009-10-27,6.01
2009-10-28,5.71
2009-10-29,5.58
2009-10-30,5.4
2009-11-02,5.79
2009-11-03,6.51
2009-11-04,6.5
2009-11-05,6.7
2009-11-06,6.85
2009-11-09,6.7
2009-11-10,6.44
2009-11-11,6.44
2009-11-12,6.06
2009-11-13,6.71
2009-11-16,6.86
2009-11-17,7.33
2009-11-18,7.7
2009-11-19,7.7
2009-11-20,7.5
2009-11-23,7.05
2009-11-24,7.15
2009-11-25,7.12
2009-11-27,6.63
2009-11-30,6.81
2009-12-01,6.92
2009-12-02,6.93
2009-12-03,7.01
2009-12-04,7.07
2009-12-07,7.16
2009-12-08,7.01
2009-12-09,7
2009-12-10,7.09
2009-12-11,7.1
2009-12-14,7.29
2009-12-15,7.56
2009-12-16,7.48
2009-12-17,7.5
2009-12-18,7.53
2009-12-21,7.7
2009-12-22,7.52
2009-12-23,7.23
2009-12-24,7.2
2009-12-28,7.22
2009-12-29,7.32
2009-12-30,7.33
2009-12-31,7.02
2010-01-04,7.29
2010-01-05,6.96
2010-01-06,6.85
2010-01-07,6.78
2010-01-08,6.83
2010-01-11,6.78
2010-01-12,6.63
2010-01-13,6.67
2010-01-14,6.7
2010-01-15,6.69
2010-01-19,6.88
2010-01-20,6.73
2010-01-21,6.55
2010-01-22,6.39
2010-01-25,6.32
2010-01-26,6.07
2010-01-27,5.95
2010-01-28,5.69
2010-01-29,6.38
2010-02-01,6.06
2010-02-02,6.09
2010-02-03,6.05
2010-02-04,5.85
2010-02-05,5.87
2010-02-08,5.82
2010-02-09,5.69
2010-02-10,5.73
2010-02-11,5.6
2010-02-12,5.79
2010-02-16,5.78
2010-02-17,5.78
2010-02-18,5.59
2010-02-19,5.64
2010-02-22,5.5
2010-02-23,5.68
2010-02-24,5.59
2010-02-25,5.59
2010-02-26,5.61
2010-03-01,5.98
2010-03-02,6
2010-03-03,6.03
2010-03-04,5.98
2010-03-05,6.36
2010-03-08,6.34
2010-03-09,6.3
2010-03-10,6.3
2010-03-11,6.28
2010-03-12,6.32
2010-03-15,6.34
2010-03-16,6.3
2010-03-17,6.21
2010-03-18,6.36
2010-03-19,6.27
2010-03-22,6.08
2010-03-23,6.08
2010-03-24,5.99
2010-03-25,5.99
2010-03-26,5.98
2010-03-29,6.05
2010-03-30,6.03
2010-03-31,7.04
2010-04-05,6.19
2010-04-06,6.17
2010-04-07,6.31
2010-04-08,6.36
2010-04-09,6.31
2010-04-12,6.25
2010-04-13,6.28
2010-04-14,6.09
2010-04-15,6.08
2010-04-16,5.88
2010-04-19,5.83
2010-04-20,5.88
2010-04-21,5.95
2010-04-22,5.91
2010-04-23,6.01
2010-04-26,5.93
2010-04-27,5.67
2010-04-28,5.84
2010-04-29,6.15
2010-04-30,5.9
2010-05-03,6.1
2010-05-04,6.13
2010-05-05,6.02
2010-05-06,5.97
2010-05-07,5.78
2010-05-10,6.28
2010-05-11,6.3
2010-05-12,6.12
2010-05-13,6.1
2010-05-14,5.98
2010-05-17,5.81
2010-05-18,5.5
2010-05-19,5.5
2010-05-20,5.46
2010-05-21,5.3
2010-05-24,5.24
2010-05-25,5.57
2010-05-26,5.37
2010-05-27,5.91
2010-05-28,5.92
2010-06-01,5.52
2010-06-02,5.46
2010-06-03,5.62
2010-06-04,5.35
2010-06-07,5.44
2010-06-08,5.49
2010-06-09,5.44
2010-06-10,5.54
2010-06-11,5.56
2010-06-14,5.87
2010-06-15,6
2010-06-16,5.87
2010-06-17,5.83
2010-06-18,6.08
2010-06-21,6.06
2010-06-22,6.18
2010-06-23,6.38
2010-06-24,6.62
2010-06-25,7.72
2010-06-28,7.64
2010-06-29,7.57
2010-06-30,7.42
2010-07-01,7.22
2010-07-02,7.15
2010-07-06,7.22
2010-07-07,7.56
2010-07-08,7.91
2010-07-09,7.91
2010-07-12,7.89
2010-07-13,8.77
2010-07-14,8.69
2010-07-15,8.72
2010-07-16,8.18
2010-07-19,8.18
2010-07-20,8.13
2010-07-21,7.39
2010-07-22,7.5
2010-07-23,7.5
2010-07-26,7.5
2010-07-27,7.5
2010-07-28,7.38
2010-07-29,7.37
2010-07-30,7.25
2010-08-02,7.19
2010-08-03,7.2
2010-08-04,7.29
2010-08-05,7.24
2010-08-06,7.16
2010-08-09,7.25
2010-08-10,6.99
2010-08-11,6.36
2010-08-12,6.44
2010-08-13,6.32
2010-08-16,6.4
2010-08-17,6.64
2010-08-18,6.53
2010-08-19,6.25
2010-08-20,6.08
2010-08-23,6.04
2010-08-24,5.85
2010-08-25,6.09
2010-08-26,5.95
2010-08-27,6.55
2010-08-30,6.16
2010-08-31,6.06
2010-09-01,6.27
2010-09-02,6.22
2010-09-03,6.24
2010-09-07,6.12
2010-09-08,6.28
2010-09-09,6.3
2010-09-10,6.73
2010-09-13,7.24
2010-09-14,6.95
2010-09-15,6.92
2010-09-16,7.03
2010-09-17,7.32
2010-09-20,7.72
2010-09-21,7.6
2010-09-22,7.23
2010-09-23,7.13
2010-09-24,7.47
2010-09-27,7.25
2010-09-28,7.49
2010-09-29,7.35
2010-09-30,7.29
2010-10-01,7.26
2010-10-04,6.9
2010-10-05,7.32
2010-10-06,7.26
2010-10-07,7.08
2010-10-08,7.3
2010-10-11,7.26
2010-10-12,7.25
2010-10-13,7.4
2010-10-14,7.37
2010-10-15,7.39
2010-10-18,7.64
2010-10-19,7.43
2010-10-20,7.59
2010-10-21,7.47
2010-10-22,7.3
2010-10-25,8.23
2010-10-26,8
2010-10-27,7.98
2010-10-28,7.93
2010-10-29,8.02
2010-11-01,8
2010-11-02,8
2010-11-03,8.02
2010-11-04,8.15
2010-11-05,7.76
2010-11-08,8.02
2010-11-09,8.03
2010-11-10,8
2010-11-11,8.26
2010-11-12,8.17
2010-11-15,8.04
2010-11-16,8.08
2010-11-17,8.07
2010-11-18,8.23
2010-11-19,8.29
2010-11-22,8.3
2010-11-23,8.22
2010-11-24,8.32
2010-11-26,8.31
2010-11-29,8.3
2010-11-30,8.11
2010-12-01,8.28
2010-12-02,8.19
2010-12-03,8.18
2010-12-06,8.1
2010-12-07,8.12
2010-12-08,8.23
2010-12-09,8.17
2010-12-10,8
2010-12-13,7.96
2010-12-14,8
2010-12-15,8.03
2010-12-16,8
2010-12-17,8
2010-12-20,8
2010-12-21,7.94
