"Index","PACR.Close"
2007-01-03,29.55
2007-01-04,29.31
2007-01-05,28.69
2007-01-08,28.75
2007-01-09,28.59
2007-01-10,28.39
2007-01-11,29.01
2007-01-12,29.62
2007-01-16,29.37
2007-01-17,29.14
2007-01-18,28.74
2007-01-19,29.3
2007-01-22,29.49
2007-01-23,29.68
2007-01-24,29.9
2007-01-25,29.28
2007-01-26,29.47
2007-01-29,29.91
2007-01-30,30.03
2007-01-31,31.16
2007-02-01,32.03
2007-02-02,32.55
2007-02-05,32.59
2007-02-06,33.07
2007-02-07,33.29
2007-02-08,27.71
2007-02-09,28
2007-02-12,26.96
2007-02-13,26.59
2007-02-14,27.32
2007-02-15,28.01
2007-02-16,28.13
2007-02-20,28.17
2007-02-21,28.29
2007-02-22,28.56
2007-02-23,28.72
2007-02-26,28.34
2007-02-27,27.52
2007-02-28,27.03
2007-03-01,27.26
2007-03-02,26.34
2007-03-05,26.4
2007-03-06,27.46
2007-03-07,27.41
2007-03-08,27.45
2007-03-09,27.58
2007-03-12,27.23
2007-03-13,26.91
2007-03-14,27.47
2007-03-15,27.96
2007-03-16,27.46
2007-03-19,27.83
2007-03-20,27.99
2007-03-21,28.31
2007-03-22,28.02
2007-03-23,28.32
2007-03-26,27.99
2007-03-27,28.29
2007-03-28,27.76
2007-03-29,26.99
2007-03-30,26.94
2007-04-02,26.89
2007-04-03,27.5
2007-04-04,25.7
2007-04-05,25.84
2007-04-09,26.09
2007-04-10,26.05
2007-04-11,25.82
2007-04-12,26.28
2007-04-13,27.65
2007-04-16,27.8
2007-04-17,28.14
2007-04-18,27.62
2007-04-19,27.47
2007-04-20,27.73
2007-04-23,27.63
2007-04-24,26.99
2007-04-25,27.37
2007-04-26,27.43
2007-04-27,26.97
2007-04-30,25.55
2007-05-01,25.97
2007-05-02,26.24
2007-05-03,27.64
2007-05-04,24.74
2007-05-07,24.8
2007-05-08,24.72
2007-05-09,25.32
2007-05-10,25.1
2007-05-11,25.42
2007-05-14,25.26
2007-05-15,25.26
2007-05-16,25.55
2007-05-17,25.49
2007-05-18,26.2
2007-05-21,26.79
2007-05-22,26.68
2007-05-23,26.5
2007-05-24,26.44
2007-05-25,26.52
2007-05-29,26.8
2007-05-30,26.6
2007-05-31,26.92
2007-06-01,27.01
2007-06-04,27.07
2007-06-05,25.7
2007-06-06,25.85
2007-06-07,25.39
2007-06-08,24.76
2007-06-11,25.1
2007-06-12,24.7
2007-06-13,24.8
2007-06-14,25.2
2007-06-15,25.19
2007-06-18,25.16
2007-06-19,25.28
2007-06-20,25.09
2007-06-21,25.11
2007-06-22,24.94
2007-06-25,24.08
2007-06-26,23.66
2007-06-27,24.09
2007-06-28,24.34
2007-06-29,23.52
2007-07-02,23.69
2007-07-03,23.85
2007-07-05,23.75
2007-07-06,24.18
2007-07-09,24.2
2007-07-10,23.83
2007-07-11,24.08
2007-07-12,24.23
2007-07-13,24.25
2007-07-16,24.19
2007-07-17,23.87
2007-07-18,24.08
2007-07-19,24.3
2007-07-20,23.81
2007-07-23,23.14
2007-07-24,22.05
2007-07-25,22.1
2007-07-26,22.25
2007-07-27,21.99
2007-07-30,22.35
2007-07-31,22.01
2007-08-01,21.95
2007-08-02,22.24
2007-08-03,22.39
2007-08-06,23.48
2007-08-07,22.41
2007-08-08,22.05
2007-08-09,19.79
2007-08-10,20.28
2007-08-13,20.88
2007-08-14,19.81
2007-08-15,19.59
2007-08-16,19.57
2007-08-17,20.13
2007-08-20,20.73
2007-08-21,20.72
2007-08-22,21.18
2007-08-23,21.61
2007-08-24,21.89
2007-08-27,21.62
2007-08-28,20.78
2007-08-29,21.29
2007-08-30,21
2007-08-31,21.62
2007-09-04,21.64
2007-09-05,21.41
2007-09-06,21.5
2007-09-07,21.12
2007-09-10,20.85
2007-09-11,20.8
2007-09-12,19.99
2007-09-13,20.06
2007-09-14,20.03
