"Index","PCOM.Close"
2011-02-10,10.3
2011-02-11,10.7
2011-02-14,11.72
2011-02-15,11.92
2011-02-16,11.1
2011-02-17,10.97
2011-02-18,10.82
2011-02-22,9.99
2011-02-23,9.99
2011-02-24,10.06
2011-02-25,10.45
2011-02-28,10.4
2011-03-01,9.75
2011-03-02,10
2011-03-03,10.17
2011-03-04,10.35
2011-03-07,10.21
2011-03-08,10.25
2011-03-09,9.85
2011-03-10,9.77
2011-03-11,9.88
2011-03-14,9.14
2011-03-15,8.88
2011-03-16,9.03
2011-03-17,9.3
2011-03-18,9.15
2011-03-21,9.3
2011-03-22,9.4
2011-03-23,9.5
2011-03-24,9.6
2011-03-25,9.49
2011-03-28,9.14
2011-03-29,8.95
2011-03-30,9
2011-03-31,8.97
2011-04-01,8.85
2011-04-04,8.68
2011-04-05,8.84
2011-04-06,8.82
2011-04-07,9
2011-04-08,9.09
2011-04-11,9.29
2011-04-12,9.4
2011-04-13,10.42
2011-04-14,10.25
2011-04-15,10.75
2011-04-18,10.92
2011-04-19,10.79
2011-04-20,10.91
2011-04-21,11.02
2011-04-25,10.82
2011-04-26,10.9
2011-04-27,10.95
2011-04-28,10.6
2011-04-29,10.86
2011-05-02,10.65
2011-05-03,10.2
2011-05-04,10.21
2011-05-05,10.58
2011-05-06,10.77
2011-05-09,10.26
2011-05-10,10.39
2011-05-11,10.34
2011-05-12,10.29
2011-05-13,10.41
2011-05-16,10.2
2011-05-17,9.99
2011-05-18,9.62
2011-05-19,9.99
2011-05-20,10.14
2011-05-23,9.95
2011-05-24,10
2011-05-25,10.04
2011-05-26,10.22
2011-05-27,10.3
2011-05-31,10.4
2011-06-01,10.34
2011-06-02,10.19
2011-06-03,9.93
2011-06-06,9.78
2011-06-07,9.65
2011-06-08,9.69
2011-06-09,10.03
2011-06-10,10.02
2011-06-13,9.91
2011-06-14,10.11
2011-06-15,9.96
2011-06-16,10
2011-06-17,9.93
2011-06-20,9.98
2011-06-21,9.83
2011-06-22,9.85
2011-06-23,9.88
2011-06-24,9.99
2011-06-27,9.94
2011-06-28,9.98
2011-06-29,9.98
2011-06-30,9.95
2011-07-01,9.88
2011-07-05,9.29
2011-07-06,9.49
2011-07-07,9.66
2011-07-08,9.67
2011-07-11,9.55
2011-07-12,9.51
2011-07-13,9.55
2011-07-14,9.32
2011-07-15,9.28
2011-07-18,9.32
2011-07-19,9.53
2011-07-20,9.29
2011-07-21,9.6
2011-07-22,9.48
2011-07-25,9.82
2011-07-26,9.56
2011-07-27,9.5
2011-07-28,9.49
2011-07-29,9.3
2011-08-01,9.2
2011-08-02,9.1
2011-08-03,9
2011-08-04,8.99
2011-08-05,8.94
2011-08-08,8.8
2011-08-09,8.4
2011-08-10,8.65
2011-08-11,8.54
2011-08-12,8.54
2011-08-15,8.33
2011-08-16,8.02
2011-08-17,8.4
2011-08-18,7.85
2011-08-19,7.99
2011-08-22,8.36
2011-08-23,8.04
2011-08-24,7.98
2011-08-25,7.79
2011-08-26,8.02
2011-08-29,8.11
2011-08-30,8.35
2011-08-31,8.38
2011-09-01,8.4
2011-09-02,8.25
2011-09-06,7.82
2011-09-07,8.54
2011-09-08,8.62
2011-09-09,8.28
2011-09-12,8.27
2011-09-13,8.75
2011-09-14,8.62
2011-09-15,8.77
2011-09-16,9.15
2011-09-19,10.07
2011-09-20,10.07
2011-09-21,9.9
2011-09-22,9.73
2011-09-23,9.59
2011-09-26,10.05
2011-09-27,10.11
2011-09-28,10.18
2011-09-29,10
2011-09-30,9.81
2011-10-03,9.28
2011-10-04,9.1
2011-10-05,9.28
2011-10-06,9.58
2011-10-07,9.5
2011-10-10,9.48
2011-10-11,9.42
2011-10-12,9.36
2011-10-13,9.55
2011-10-14,9.65
2011-10-17,9.37
2011-10-18,9.47
2011-10-19,9.08
2011-10-20,9.12
2011-10-21,9.28
2011-10-24,9.18
2011-10-25,9.41
2011-10-26,9.22
2011-10-27,9.15
2011-10-28,9.26
2011-10-31,9.14
2011-11-01,8.96
2011-11-02,9.46
2011-11-03,9.3
2011-11-04,9.26
2011-11-07,9.04
2011-11-08,9.01
2011-11-09,8.72
2011-11-10,8.73
2011-11-11,8.99
2011-11-14,8.59
2011-11-15,8.89
2011-11-16,8.91
2011-11-17,8.7
2011-11-18,8.71
2011-11-21,8.47
2011-11-22,8.97
2011-11-23,8.56
2011-11-25,8.8
2011-11-28,8.61
2011-11-29,8.6
2011-11-30,9.07
2011-12-01,9.09
2011-12-02,9
2011-12-05,8.6
2011-12-06,8.74
2011-12-07,8.43
2011-12-08,8.33
2011-12-09,8.35
2011-12-12,7.95
2011-12-13,7.81
2011-12-14,7.84
2011-12-15,7.76
2011-12-16,7.74
2011-12-19,7.84
2011-12-20,7.89
2011-12-21,7.82
2011-12-22,7.87
2011-12-23,7.99
2011-12-27,7.95
2011-12-28,7.65
2011-12-29,7.57
2011-12-30,7.95
2012-01-03,7.93
2012-01-04,8.4
2012-01-05,8.25
2012-01-06,8.22
2012-01-09,7.91
2012-01-10,8.04
2012-01-11,7.94
2012-01-12,8.27
2012-01-13,8.09
2012-01-17,8.11
2012-01-18,8.38
2012-01-19,8.32
2012-01-20,8.27
2012-01-23,7.96
2012-01-24,8
2012-01-25,8.27
2012-01-26,7.83
2012-01-27,7.95
2012-01-30,7.99
2012-01-31,8.15
2012-02-01,8.35
2012-02-02,8.69
2012-02-03,8.7
2012-02-06,8.72
2012-02-07,8.92
2012-02-08,9.26
2012-02-09,9.16
2012-02-10,9.06
2012-02-13,9
2012-02-14,8.95
2012-02-15,9.05
2012-02-16,9.04
2012-02-17,9.01
2012-02-21,9.24
2012-02-22,9.22
2012-02-23,9.06
2012-02-24,8.88
2012-02-27,8.96
2012-02-28,9.01
2012-02-29,9
2012-03-01,9.3
2012-03-02,9.31
2012-03-05,9.42
2012-03-06,9.11
2012-03-07,9.31
2012-03-08,9.36
2012-03-09,9.56
2012-03-12,9.5
2012-03-13,9.84
2012-03-14,9.98
2012-03-15,10.17
2012-03-16,10.16
2012-03-19,10.07
2012-03-20,10.1
2012-03-21,10.57
2012-03-22,10.43
2012-03-23,10.48
2012-03-26,10.54
2012-03-27,10.51
2012-03-28,10.47
2012-03-29,10.42
2012-03-30,10.54
2012-04-02,10.63
2012-04-03,10.61
2012-04-04,10.46
2012-04-05,10.5
2012-04-09,10.48
2012-04-10,10.52
2012-04-11,10.65
2012-04-12,11.1
2012-04-13,11.65
2012-04-16,11.64
2012-04-17,11.67
2012-04-18,11.39
2012-04-19,11.32
2012-04-20,11.44
2012-04-23,11.65
2012-04-24,11.66
2012-04-25,12.03
2012-04-26,12.64
2012-04-27,12.7
2012-04-30,12.95
2012-05-01,12.97
2012-05-02,12.46
2012-05-03,12.43
2012-05-04,12.55
2012-05-07,12.5
2012-05-08,12.6
