"Index","PLNR.Close"
2007-01-03,9.5
2007-01-04,9.5
2007-01-05,9.44
2007-01-08,9.04
2007-01-09,8.94
2007-01-10,9.1
2007-01-11,9.15
2007-01-12,9.03
2007-01-16,9.29
2007-01-17,9.51
2007-01-18,9.67
2007-01-19,9.76
2007-01-22,9.85
2007-01-23,9.93
2007-01-24,10.24
2007-01-25,10.26
2007-01-26,10.32
2007-01-29,10.34
2007-01-30,10.36
2007-01-31,10.41
2007-02-01,10.55
2007-02-02,10.48
2007-02-05,10.7
2007-02-06,10.74
2007-02-07,10.1
2007-02-08,10.37
2007-02-09,10.35
2007-02-12,10.25
2007-02-13,10.24
2007-02-14,10
2007-02-15,9.65
2007-02-16,9.83
2007-02-20,9.77
2007-02-21,9.6
2007-02-22,9.26
2007-02-23,9.25
2007-02-26,9.1
2007-02-27,8.8
2007-02-28,8.94
2007-03-01,8.83
2007-03-02,8.79
2007-03-05,8.63
2007-03-06,8.7
2007-03-07,8.64
2007-03-08,8.45
2007-03-09,8.35
2007-03-12,8.24
2007-03-13,8.51
2007-03-14,8.4
2007-03-15,8.48
2007-03-16,8.41
2007-03-19,8.39
2007-03-20,8.44
2007-03-21,8.49
2007-03-22,8.4
2007-03-23,8.52
2007-03-26,8.41
2007-03-27,8.38
2007-03-28,8.73
2007-03-29,8.77
2007-03-30,8.67
2007-04-02,8.54
2007-04-03,8.46
2007-04-04,8.4
2007-04-05,8.52
2007-04-09,8.52
2007-04-10,8.4
2007-04-11,8.5
2007-04-12,8.49
2007-04-13,7.76
2007-04-16,7.62
2007-04-17,7.44
2007-04-18,7.39
2007-04-19,7.37
2007-04-20,7.5
2007-04-23,7.71
2007-04-24,7.48
2007-04-25,7.61
2007-04-26,7.45
2007-04-27,7.51
2007-04-30,7.53
2007-05-01,7.67
2007-05-02,7.8
2007-05-03,7.8
2007-05-04,7.8
2007-05-07,7.93
2007-05-08,7.98
2007-05-09,7.54
2007-05-10,7.54
2007-05-11,7.54
2007-05-14,7.51
2007-05-15,7.48
2007-05-16,7.39
2007-05-17,7.33
2007-05-18,7.45
2007-05-21,7.64
2007-05-22,8.07
2007-05-23,7.78
2007-05-24,7.45
2007-05-25,7.39
2007-05-29,7.46
2007-05-30,7.26
2007-05-31,7.25
