"Index","PNRG.Close"
2007-01-03,62.96
2007-01-04,63.51
2007-01-05,64.34
2007-01-08,64.34
2007-01-09,64.34
2007-01-10,63.82
2007-01-11,62.38
2007-01-12,60
2007-01-16,57.29
2007-01-17,52.05
2007-01-18,52.15
2007-01-19,52.28
2007-01-22,53.09
2007-01-23,52.23
2007-01-24,52.4
2007-01-25,51.07
2007-01-26,54.32
2007-01-29,54.02
2007-01-30,54
2007-01-31,53.65
2007-02-01,53.15
2007-02-02,54
2007-02-05,53.87
2007-02-06,54.74
2007-02-07,55.08
2007-02-08,55.74
2007-02-09,55.11
2007-02-12,55.35
2007-02-13,55.01
2007-02-14,54.53
2007-02-15,54.05
2007-02-16,52.07
2007-02-20,54.67
2007-02-21,53.82
2007-02-22,53.11
2007-02-23,54.52
2007-02-26,53.46
2007-02-27,54.03
2007-02-28,54.5
2007-03-01,55.21
2007-03-02,54.92
2007-03-05,54.65
2007-03-06,55.25
2007-03-07,55.45
2007-03-08,55.03
2007-03-09,55.24
2007-03-12,54.73
2007-03-13,54.99
2007-03-14,56.02
2007-03-15,56.25
2007-03-16,57.61
2007-03-19,56.4
2007-03-20,55.2
2007-03-21,56.48
2007-03-22,54.74
2007-03-23,55.01
2007-03-26,56.33
2007-03-27,56.5
2007-03-28,56.15
2007-03-29,57.12
2007-03-30,58.16
2007-04-02,56.85
2007-04-03,57.52
2007-04-04,56
2007-04-05,56.5
2007-04-09,55.57
2007-04-10,57
2007-04-11,56.29
2007-04-12,57.11
2007-04-13,58.91
2007-04-16,64.59
2007-04-17,62.48
2007-04-18,60.83
2007-04-19,59.5
2007-04-20,59.92
2007-04-23,57.91
2007-04-24,56.47
2007-04-25,56.1
2007-04-26,56.45
2007-04-27,55.1
2007-04-30,58.01
2007-05-01,58.76
2007-05-02,57.99
2007-05-03,56.3
2007-05-04,57.35
2007-05-07,57.99
2007-05-08,56.35
2007-05-09,56.7
2007-05-10,55.5
2007-05-11,56
2007-05-14,55.2
2007-05-15,56.36
2007-05-16,57.58
2007-05-17,56.8
2007-05-18,56.52
2007-05-21,57.7
2007-05-22,57.1
2007-05-23,57.5
2007-05-24,58.16
2007-05-25,57.22
2007-05-29,57.22
2007-05-30,57.53
2007-05-31,58.38
2007-06-01,56.85
2007-06-04,57.72
2007-06-05,57.3
2007-06-06,58.23
2007-06-07,58.4
2007-06-08,56.69
2007-06-11,56.6
2007-06-12,57.38
2007-06-13,58.55
2007-06-14,58.54
2007-06-15,58.27
2007-06-18,56.82
2007-06-19,56.86
2007-06-20,57
2007-06-21,57.39
2007-06-22,56.84
2007-06-25,57.48
2007-06-26,56.65
2007-06-27,55.96
2007-06-28,55.65
2007-06-29,57
2007-07-02,55.44
2007-07-03,58.6
2007-07-05,58
2007-07-06,56.78
2007-07-09,56.78
2007-07-10,55.68
2007-07-11,57.41
2007-07-12,56.69
2007-07-13,56.69
2007-07-16,57
2007-07-17,55.67
2007-07-18,55.69
2007-07-19,56.94
2007-07-20,55.99
2007-07-23,55.57
2007-07-24,55.1
2007-07-25,55.1
2007-07-26,54.96
2007-07-27,56.9
2007-07-30,53.11
2007-07-31,55.28
2007-08-01,56.9
2007-08-02,54.25
2007-08-03,54.85
2007-08-06,55.45
2007-08-07,53.81
2007-08-08,55.69
2007-08-09,55.69
2007-08-10,55.39
2007-08-13,56.79
2007-08-14,54.58
2007-08-15,54.41
2007-08-16,54.41
2007-08-17,54.45
2007-08-20,54.45
2007-08-21,54.45
2007-08-22,54.5
2007-08-23,54.5
2007-08-24,54.5
2007-08-27,54.5
2007-08-28,54.5
2007-08-29,54.25
2007-08-30,54.25
2007-08-31,56.8
2007-09-04,56.89
2007-09-05,56.89
2007-09-06,56.52
2007-09-07,54.14
2007-09-10,54.45
2007-09-11,54.26
2007-09-12,54.26
2007-09-13,54.26
2007-09-14,54.5
2007-09-17,53
2007-09-18,56
2007-09-19,56
2007-09-20,56
2007-09-21,55.04
2007-09-24,54.47
2007-09-25,54.47
2007-09-26,56.5
2007-09-27,54.53
2007-09-28,56.75
2007-10-01,56.28
2007-10-02,56.31
2007-10-03,56.31
2007-10-04,55
2007-10-05,55
2007-10-08,55
2007-10-09,55
2007-10-10,54.45
2007-10-11,56.8
2007-10-12,55.8
2007-10-15,55.8
2007-10-16,56
2007-10-17,56
2007-10-18,55.8
2007-10-19,55.13
2007-10-22,55.16
2007-10-23,55.16
2007-10-24,54.8
2007-10-25,54.8
2007-10-26,56.95
2007-10-29,56.95
2007-10-30,56.95
2007-10-31,56.09
2007-11-01,54.45
2007-11-02,54.45
2007-11-05,54.45
2007-11-06,54.6
2007-11-07,54.6
2007-11-08,54.6
2007-11-09,56.25
2007-11-12,53.6
2007-11-13,53.6
2007-11-14,55.02
2007-11-15,55.04
2007-11-16,53.85
2007-11-19,53
2007-11-20,55
2007-11-21,52.48
2007-11-23,52.48
2007-11-26,52.48
2007-11-27,52.48
2007-11-28,54.51
2007-11-29,54.5
2007-11-30,55.8
2007-12-03,52.46
2007-12-04,52.46
2007-12-05,54.7
2007-12-06,54.44
2007-12-07,54.44
2007-12-10,52.8
2007-12-11,52.8
2007-12-12,52.8
2007-12-13,52.8
2007-12-14,52.8
2007-12-17,52.81
2007-12-18,56
2007-12-19,56
2007-12-20,56
2007-12-21,52.76
2007-12-24,52.76
2007-12-26,52.76
2007-12-27,52.76
2007-12-28,56
2007-12-31,56.25
2008-01-02,55.62
2008-01-03,55.62
2008-01-04,54
2008-01-07,54.65
2008-01-08,53.05
2008-01-09,55.99
2008-01-10,55
2008-01-11,54.98
2008-01-14,55
2008-01-15,55
2008-01-16,54
2008-01-17,53.75
2008-01-18,52.6
2008-01-22,55
2008-01-23,54
2008-01-24,55
2008-01-25,54.98
2008-01-28,55
2008-01-29,55
2008-01-30,55
2008-01-31,55
2008-02-01,55
2008-02-04,55
2008-02-05,55
2008-02-06,54.7
2008-02-07,54.7
2008-02-08,54.7
2008-02-11,54.9
2008-02-12,54.81
2008-02-13,55
2008-02-14,54.7
2008-02-15,54.7
2008-02-19,54.7
2008-02-20,52.66
2008-02-21,53.33
2008-02-22,53.33
2008-02-25,53.33
2008-02-26,55.93
2008-02-27,55.93
2008-02-28,55.8
2008-02-29,55.8
2008-03-03,54.03
2008-03-04,54.03
2008-03-05,54.01
2008-03-06,54.5
2008-03-07,55
2008-03-10,54.85
2008-03-11,56.03
2008-03-12,56.5
2008-03-13,56.5
2008-03-14,58
2008-03-17,57
2008-03-18,56
2008-03-19,55.75
2008-03-20,55.75
2008-03-24,55.27
2008-03-25,55.27
2008-03-26,55.27
2008-03-27,56
2008-03-28,55.51
2008-03-31,57
2008-04-01,57
