"Index","PSBR.Close"
2012-07-05,5.25
2013-01-08,6
2013-01-10,5.98
2013-01-15,6
2013-01-24,5.75
2013-02-05,5.6
2013-02-14,5.6
2013-02-20,5.55
2013-02-21,5.8
2013-03-07,5.8
2013-03-13,5.6
2013-03-15,5.6
2013-03-19,5.6
2013-03-21,5.85
2013-03-26,5.85
2013-04-04,5.85
2013-04-05,5.85
2013-04-15,5.61
2013-04-18,5.6
2013-04-24,5.75
2013-04-25,5.75
2013-04-26,5.75
2013-04-29,5.75
2013-05-06,5.75
2013-05-07,5.75
2013-05-08,5.42
2013-05-09,5.5
2013-05-15,6
2013-05-29,5.37
2013-06-04,5.5
2013-06-06,5.85
2013-06-07,5.51
2013-06-17,5.51
2013-06-18,5.55
2013-06-24,5.6
2013-06-25,6.25
2013-06-27,6.25
2013-07-01,5.8
2013-07-03,6.25
2013-07-05,6.25
2013-07-11,5.85
2013-07-12,5.86
2013-07-15,5.86
2013-07-16,5.93
2013-07-25,6.21
2013-07-26,6.25
2013-07-29,6.25
2013-08-08,6
2013-08-21,6.5
2013-09-23,6
2013-09-30,6.49
2013-10-04,6.5
2013-10-15,6.25
2013-10-22,5.75
2013-10-23,5.95
2013-10-31,6.05
2013-11-19,5.75
2013-11-20,5.75
2013-11-22,6
2013-11-25,5.85
2013-11-29,5.75
2013-12-02,6
2013-12-03,5.95
2013-12-05,6.01
2013-12-06,6.01
2013-12-30,6.25
2014-01-03,6.15
2014-01-08,6.45
2014-01-10,6.15
2014-01-15,6.48
2014-01-17,7
2014-01-24,7
2014-01-27,6.8
2014-02-25,7.5
2014-03-03,7.55
2014-03-05,7.8
2014-03-10,7.8
2014-03-13,7.8
2014-03-17,7.8
2014-03-18,7.11
2014-03-21,7.25
2014-03-26,7.25
2014-03-28,7.25
2014-04-02,7.25
2014-04-07,8
2014-04-14,8.75
2014-04-17,8
2014-04-30,7
2014-05-28,7
2014-06-02,6.75
2014-06-05,6.75
2014-06-09,6.55
2014-06-10,6.5
2014-06-18,6.51
2014-06-19,6.5
2014-06-26,6.84
2014-07-01,6.69
2014-07-03,6.95
2014-07-07,9
2014-07-08,9.2
2014-07-10,8.5
2014-07-14,8.5
2014-07-17,8.4
2014-07-18,8.4
2014-07-24,8.25
2014-07-25,7.95
2014-07-30,7.95
2014-08-07,7.6
2014-08-08,6.95
2014-08-11,7.15
2014-08-14,7.3
2014-09-05,7.27
2014-09-08,7.05
2014-09-10,7.35
2014-09-11,7.15
2014-09-12,7.11
2014-09-15,7.2
2014-09-16,7.2
2014-09-17,7.72
2014-09-18,7.8
2014-09-19,7.8
2014-09-26,7.51
2014-09-29,7.55
2014-10-03,7.3
2014-10-15,7.3
2014-10-21,7.3
2014-10-22,7.82
2014-10-27,7.25
2014-10-31,7.25
2014-11-04,7.15
2014-11-07,7.3
2014-11-12,7.4
2014-11-13,7.3
2014-11-18,7.25
2014-11-20,7.4
2014-11-24,7.4
2014-12-01,7.26
2014-12-02,7.1
2014-12-05,7.13
2014-12-10,7.15
2014-12-11,7.15
2014-12-16,7.33
2014-12-26,7.25
2014-12-29,7.18
2015-01-08,7.4
2015-01-12,7.5
