"Index","RICK.Close"
2014-08-12,11.82
2014-08-13,11.73
2014-08-14,11.51
2014-08-15,11.35
2014-08-18,11.46
2014-08-19,11.42
2014-08-20,11.45
2014-08-21,11.53
2014-08-22,11.77
2014-08-25,11.72
2014-08-26,11.75
2014-08-27,11.88
2014-08-28,11.79
2014-08-29,11.93
2014-09-02,12
2014-09-03,11.99
2014-09-04,11.76
2014-09-05,11.86
2014-09-08,11.85
2014-09-09,11.68
2014-09-10,11.43
2014-09-11,11.59
2014-09-12,11.6
2014-09-15,11.53
2014-09-16,11.48
2014-09-17,11.5
2014-09-18,11.49
2014-09-19,11.54
2014-09-22,11.37
2014-09-23,11.28
2014-09-24,11.37
2014-09-25,11.4
2014-09-26,11.32
2014-09-29,11.14
2014-09-30,11.02
2014-10-01,10.96
2014-10-02,10.94
2014-10-03,10.95
2014-10-06,10.94
2014-10-07,10.67
2014-10-08,10.85
2014-10-09,10.82
2014-10-10,10.73
2014-10-13,10.51
2014-10-14,10.61
2014-10-15,10.82
2014-10-16,10.95
2014-10-17,11.11
2014-10-20,11.8
2014-10-21,11.91
2014-10-22,11.93
2014-10-23,11.75
2014-10-24,11.76
2014-10-27,11.89
2014-10-28,12.14
2014-10-29,11.84
2014-10-30,11.87
2014-10-31,11.9
2014-11-03,11.68
2014-11-04,11.63
2014-11-05,11.4
2014-11-06,11.39
2014-11-07,11.34
2014-11-10,11.25
2014-11-11,11.38
2014-11-12,11.33
2014-11-13,11.28
2014-11-14,10.78
2014-11-17,10.18
2014-11-18,10.08
2014-11-19,10.24
2014-11-20,10.1
2014-11-21,9.7
2014-11-24,9.87
2014-11-25,9.96
2014-11-26,10.12
2014-11-28,9.68
2014-12-01,9.7
2014-12-02,9.77
2014-12-03,9.85
2014-12-04,9.89
2014-12-05,9.86
2014-12-08,9.64
2014-12-09,9.71
2014-12-10,9.55
2014-12-11,9.6
2014-12-12,9.58
2014-12-15,9.48
2014-12-16,9.53
2014-12-17,9.6
2014-12-18,9.68
2014-12-19,9.77
2014-12-22,9.78
2014-12-23,9.83
2014-12-24,10.04
2014-12-26,10
2014-12-29,9.97
2014-12-30,10.01
2014-12-31,10.02
2015-01-02,9.96
2015-01-05,10
2015-01-06,9.63
2015-01-07,9.78
2015-01-08,9.89
2015-01-09,9.97
2015-01-12,10.01
2015-01-13,9.92
