"Index","SAEB.Close"
2007-01-03,16
2007-01-05,16.25
2007-01-08,16.01
2007-01-12,16
2007-01-17,16
2007-01-22,16.25
2007-01-23,16
2007-01-26,16.05
2007-01-30,16
2007-02-05,16
2007-02-06,15.1
2007-02-08,15.1
2007-02-15,15.5
2007-02-21,15.25
2007-02-22,15.25
2007-02-23,15.95
2007-02-28,15.95
2007-03-07,15.06
2007-03-09,15.6
2007-03-13,15.5
2007-03-16,15.45
2007-03-20,15.15
2007-03-21,15.07
2007-03-22,15.07
2007-03-23,15.5
2007-03-26,15.95
2007-03-29,15.9
2007-04-02,15.5
2007-04-03,15.9
2007-04-12,15.75
2007-04-13,15.5
2007-04-18,15.35
2007-04-19,15.25
2007-04-20,15
2007-04-23,14.65
2007-04-24,14
2007-04-26,13.08
2007-04-30,14
2007-05-01,13.08
2007-05-07,13
2007-05-08,13
2007-05-11,13.05
2007-05-17,12.1
2007-05-18,12.1
2007-05-21,12
2007-05-22,11.75
2007-05-23,11.5
2007-05-24,11.5
2007-06-01,11.55
2007-06-05,12
2007-06-14,12
2007-06-21,11.5
2007-06-22,12
2007-06-25,11.5
2007-06-27,11.5
2007-07-09,10.75
2007-07-10,10.5
2007-07-11,10.95
2007-07-16,10.75
2007-07-23,10.35
2007-07-24,10.26
2007-07-26,10.26
2007-07-27,10.25
2007-08-06,10.25
2007-08-14,10.25
2007-08-17,10.25
2007-08-22,10.3
2007-08-23,10.3
2007-08-24,10.3
2007-08-30,10.3
2007-08-31,11
2007-09-04,10.3
2007-09-05,10.5
2007-09-06,10.25
2007-09-07,10.5
2007-09-10,10.5
2007-09-26,10.02
2007-09-27,10.05
2007-09-28,10.02
2007-10-01,10
2007-10-02,9.75
2007-10-03,9.75
2007-10-04,9.75
2007-10-15,10
2007-10-24,9.25
2007-10-25,9
2007-11-09,9.25
2007-11-27,9.25
2007-11-28,9.25
2007-12-07,8.5
2007-12-10,8.5
2007-12-12,8.5
2007-12-13,9
2007-12-17,8
2007-12-20,7.5
2007-12-26,7
2008-01-07,6.25
2008-01-10,5.5
2008-01-15,6.5
2008-01-22,6.25
2008-01-30,7.5
2008-01-31,7.25
2008-02-01,7.5
2008-02-04,7.25
2008-02-05,7.5
2008-02-20,7
2008-02-21,7.1
2008-03-04,6.75
2008-03-06,7
2008-03-07,6.95
2008-03-14,7.1
2008-03-20,6.75
2008-03-27,6.5
2008-03-31,6
2008-04-01,6
2008-04-02,6.25
2008-04-03,6.1
2008-04-10,6.25
2008-04-18,7.75
2008-04-23,7.5
2008-05-14,6.85
2008-05-27,6
2008-06-02,6.1
2008-06-06,6.01
2008-06-16,6
2008-06-17,5.75
2008-06-18,5.35
2008-06-20,5.85
2008-07-11,5.14
2008-07-14,5.3
2008-07-15,5.45
2008-07-16,5
2008-07-17,5
2008-07-21,5.2
2008-07-23,5.05
2008-07-28,5.01
2008-08-01,5.01
2008-08-05,4.8
2008-08-06,4.95
2008-08-12,4.95
2008-08-20,4.15
2008-08-26,4.16
2008-08-27,4.1
2008-08-28,4.1
2008-08-29,4
2008-09-02,4.03
2008-09-04,4.02
2008-09-09,4.03
2008-09-10,4.02
2008-09-11,4.02
2008-09-15,4
2008-09-16,3.75
2008-09-18,3.75
2008-10-03,3.75
2008-10-06,2.95
2008-10-07,3
2008-10-16,3
2008-11-20,3
2008-12-03,2.05
2008-12-05,2.05
2008-12-09,3
2008-12-16,2.9
2008-12-19,2
2009-01-05,2.2
2009-01-21,2.21
2009-02-11,1.68
2009-03-03,1.45
2009-03-13,1.45
2009-03-16,1.45
2009-03-20,1.45
2009-03-26,1.4
2009-03-27,1.45
2009-04-14,2
2009-04-15,2.5
2009-04-30,2
2009-05-01,2.3
2009-05-04,2.5
2009-05-05,2.5
2009-05-11,2.7
2009-05-15,2.5
2009-06-22,3
2009-07-06,2
2009-07-13,2
2009-07-15,1.5
2009-07-20,1.5
2009-07-28,0.5
2009-08-04,1
2009-08-05,0.8
2009-08-12,0.6
2009-08-14,0.62
2009-08-17,0.69
2009-08-18,0.69
2009-08-19,0.65
2009-08-20,0.61
2009-08-25,0.6
2009-08-27,0.55
2009-08-28,0.51
2009-08-31,0.5
2009-09-04,0.42
2009-09-18,0.34
2009-09-22,0.34
2009-09-23,0.29
2009-09-24,0.3
2009-09-28,0.3
2009-09-30,0.29
2009-10-08,0.2
2009-10-14,0.28
2009-10-16,0.28
2009-10-19,0.3
2009-10-21,0.24
2009-10-26,0.26
2009-11-04,0.28
2009-11-05,0.33
2009-11-06,1.15
2009-11-10,0.7
2009-11-11,0.7
2009-11-13,0.67
2009-11-17,0.67
2009-11-19,0.67
2009-11-27,0.3
2009-12-03,0.3
2009-12-09,0.3
2009-12-11,0.14
2009-12-14,0.13
2009-12-15,0.19
2009-12-16,0.19
2009-12-18,0.19
2009-12-24,0.13
2009-12-28,0.19
2009-12-30,0.17
2009-12-31,0.17
2010-01-05,0.17
2010-01-06,0.14
2010-01-07,0.14
2010-01-11,0.14
2010-01-12,0.14
2010-01-14,0.14
2010-01-15,0.25
2010-01-19,0.75
2010-01-20,0.99
2010-01-21,1.55
2010-01-22,1.39
2010-01-25,1
2010-01-26,1.3
2010-01-27,1.26
2010-01-28,0.8
2010-01-29,1.05
2010-02-01,1.13
2010-02-02,0.8
2010-02-03,0.8
2010-02-04,0.85
2010-02-05,0.8
2010-02-08,1
2010-02-09,0.97
2010-02-10,0.9
2010-02-11,0.9
2010-02-12,0.8
2010-02-16,0.85
2010-02-17,0.8
2010-02-18,0.7
2010-02-19,0.7
2010-02-22,0.7
2010-02-23,0.7
2010-02-24,0.7
2010-02-25,0.59
2010-02-26,0.65
2010-03-01,0.64
2010-03-02,0.4
2010-03-03,0.5
2010-03-04,0.62
2010-03-05,0.75
2010-03-08,1.21
2010-03-09,1.66
2010-03-10,1.44
2010-03-11,1.25
2010-03-12,1.2
2010-03-15,1.1
2010-03-16,1.1
2010-03-17,1.1
2010-03-18,1.02
2010-03-19,1
2010-03-22,1.05
2010-03-23,1.05
2010-03-24,1.01
2010-03-25,1
2010-03-26,1
2010-03-29,1
2010-03-30,1.05
2010-03-31,1.02
2010-04-01,1
2010-04-05,0.95
2010-04-06,0.9
2010-04-07,1.03
2010-04-08,1.03
2010-04-12,1.02
2010-04-13,1.02
2010-04-14,0.91
2010-04-15,1
2010-04-16,0.99
2010-04-19,0.91
2010-04-20,0.95
2010-04-21,0.92
2010-04-22,0.85
2010-04-23,0.94
2010-04-26,0.91
2010-04-27,0.9
2010-04-28,0.85
2010-04-29,0.85
2010-04-30,0.91
2010-05-04,0.7
2010-05-06,0.88
2010-05-07,0.8
2010-05-10,0.8
2010-05-11,0.88
2010-05-12,0.85
2010-05-13,0.73
2010-05-14,0.72
2010-05-17,0.7
2010-05-18,0.74
2010-05-24,0.73
2010-05-25,0.58
2010-05-26,0.67
2010-05-27,0.51
2010-05-28,0.63
2010-06-01,0.65
2010-06-03,0.57
2010-06-04,0.55
