"Index","SANW.Close"
2010-06-14,4
2010-06-15,4
2010-06-16,4.1
2010-06-17,3.95
2010-06-18,3.71
2010-06-21,3.57
2010-06-22,3.49
2010-06-23,3.42
2010-06-24,3.5
2010-06-25,3.51
2010-06-28,3.59
2010-06-29,3.3
2010-06-30,3.27
2010-07-01,3.16
2010-07-02,3.05
2010-07-06,3.05
2010-07-07,2.95
2010-07-08,3.25
2010-07-09,3.49
2010-07-12,3.55
2010-07-13,3.7
2010-07-14,3.8
2010-07-15,3.87
2010-07-16,3.5
2010-07-19,3.6
2010-07-20,3.5
2010-07-21,3.57
2010-07-22,3.6
2010-07-23,3.6
2010-07-26,3.5
2010-07-27,3.5
2010-07-28,3.4
2010-07-29,3.45
2010-07-30,3.4
2010-08-02,3.3
2010-08-03,3.2
2010-08-04,3.2
2010-08-05,3
2010-08-06,2.97
2010-08-09,3.88
2010-08-10,3.8
2010-08-11,3.6
2010-08-12,3.74
2010-08-13,3.79
2010-08-16,3.75
2010-08-17,3.59
2010-08-18,3.5
2010-08-19,3.41
2010-08-20,3.4
2010-08-23,3.4
2010-08-24,3.39
2010-08-25,3.39
2010-08-26,3.39
2010-08-27,3.4
2010-08-30,3.5
2010-08-31,3.5
2010-09-01,3.5
2010-09-02,3.55
2010-09-03,3.5
2010-09-07,3.5
2010-09-08,3.45
2010-09-09,3.43
2010-09-10,3.45
2010-09-13,3.45
2010-09-14,3.41
2010-09-15,3.39
2010-09-16,3.43
2010-09-17,3.4
2010-09-20,3.35
2010-09-21,3.23
2010-09-22,3.4
2010-09-23,3.3
2010-09-24,3.39
2010-09-27,3.3
2010-09-28,3.24
2010-09-29,3.24
2010-09-30,3.2
2010-10-01,3.28
2010-10-05,3.3
2010-10-06,3.13
2010-10-07,3.03
2010-10-08,3.02
2010-10-11,2.92
2010-10-12,3.02
2010-10-13,3.12
2010-10-14,3.2
2010-10-15,3.25
2010-10-18,3.25
2010-10-19,2.99
2010-10-20,2.85
2010-10-21,3.15
2010-10-22,3
2010-10-25,2.9
2010-10-26,2.95
2010-10-27,2.82
2010-10-28,3.1
2010-10-29,3.25
2010-11-01,3.15
2010-11-02,3.13
2010-11-03,3.12
2010-11-04,3.1
2010-11-05,3.19
2010-11-08,3.22
2010-11-09,3.24
2010-11-10,3.21
2010-11-11,3.24
2010-11-12,3.19
2010-11-15,3
2010-11-16,2.99
2010-11-17,3
2010-11-18,3
2010-11-19,3
2010-11-22,3.05
2010-11-23,3.04
2010-11-24,3.08
2010-11-26,3
2010-11-29,3
2010-11-30,3.09
2010-12-01,2.96
2010-12-02,2.93
2010-12-03,3
2010-12-06,3
2010-12-07,3
2010-12-08,3.04
2010-12-09,3
2010-12-10,2.98
2010-12-13,3
