"Index","SEAC.Close"
2007-01-03,10.56
2007-01-04,10.61
2007-01-05,10.63
2007-01-08,10.62
2007-01-09,10.53
2007-01-10,10.38
2007-01-11,10.56
2007-01-12,10.5
2007-01-16,10.41
2007-01-17,10.55
2007-01-18,10.33
2007-01-19,10.24
2007-01-22,10.38
2007-01-23,10.36
2007-01-24,10.52
2007-01-25,10.3
2007-01-26,10.56
2007-01-29,10.3
2007-01-30,10.15
2007-01-31,10
2007-02-01,10.15
2007-02-02,10.4
2007-02-05,10.17
2007-02-06,10.5
2007-02-07,10.7
2007-02-08,10.52
2007-02-09,10.8
2007-02-12,10.57
2007-02-13,10.47
2007-02-14,10.57
2007-02-15,10.51
2007-02-16,10.66
2007-02-20,10.8
2007-02-21,10.77
2007-02-22,10.83
2007-02-23,10.74
2007-02-26,10.62
2007-02-27,10.24
2007-02-28,10.2
2007-03-01,9.99
2007-03-02,9.82
2007-03-05,9.67
2007-03-06,9.92
2007-03-07,9.87
2007-03-08,9.95
2007-03-09,9.8
2007-03-12,9.63
2007-03-13,9.6
2007-03-14,7.85
2007-03-15,7.91
2007-03-16,7.95
2007-03-19,8
2007-03-20,8.14
2007-03-21,8.23
2007-03-22,8.28
2007-03-23,8.19
2007-03-26,8.13
2007-03-27,8.24
2007-03-28,8.1
2007-03-29,8.09
2007-03-30,8.14
2007-04-02,8
2007-04-03,8.2
2007-04-04,8.13
2007-04-05,8.25
2007-04-09,8.29
2007-04-10,8.47
2007-04-11,8.34
2007-04-12,8.55
2007-04-13,8.63
2007-04-16,8.81
2007-04-17,8.8
2007-04-18,8.74
2007-04-19,8.79
2007-04-20,9.01
2007-04-23,8.84
2007-04-24,8.92
2007-04-25,8.95
2007-04-26,8.79
2007-04-27,8.75
2007-04-30,8.6
2007-05-01,8.6
2007-05-02,8.64
2007-05-03,8.8
2007-05-04,8.94
2007-05-07,8.84
2007-05-08,8.87
2007-05-09,8.87
2007-05-10,8.81
2007-05-11,8.85
2007-05-14,8.74
2007-05-15,8.68
2007-05-16,8.78
2007-05-17,8.82
2007-05-18,8.83
2007-05-21,8.92
2007-05-22,9.08
2007-05-23,8.95
2007-05-24,8.77
2007-05-25,8.95
2007-05-29,9.01
2007-05-30,9.1
2007-05-31,9
2007-06-01,9.04
2007-06-04,9.19
2007-06-05,9.15
2007-06-06,9.11
2007-06-07,8.04
2007-06-08,7.9
2007-06-11,7.87
2007-06-12,8.04
2007-06-13,8.03
2007-06-14,8.11
2007-06-15,8.06
2007-06-18,7.96
2007-06-19,7.89
2007-06-20,7.81
2007-06-21,7.79
2007-06-22,7.67
2007-06-25,7.72
2007-06-26,7.8
2007-06-27,7.89
2007-06-28,7.85
2007-06-29,7.76
2007-07-02,7.87
2007-07-03,8.03
2007-07-05,7.91
2007-07-06,7.96
2007-07-09,7.96
2007-07-10,7.83
2007-07-11,7.87
2007-07-12,8.17
2007-07-13,8.09
2007-07-16,7.97
2007-07-17,7.99
2007-07-18,7.95
2007-07-19,7.92
2007-07-20,7.76
2007-07-23,7.82
2007-07-24,7.59
2007-07-25,7.53
2007-07-26,7.4
2007-07-27,7.16
2007-07-30,7.1
2007-07-31,6.98
2007-08-01,6.96
2007-08-02,6.94
2007-08-03,6.56
2007-08-06,6.15
2007-08-07,6.12
2007-08-08,6.28
2007-08-09,6.06
2007-08-10,6.3
2007-08-13,6.48
2007-08-14,6.27
2007-08-15,6.49
2007-08-16,6.69
2007-08-17,6.91
2007-08-20,6.83
2007-08-21,6.8
2007-08-22,6.99
2007-08-23,6.94
2007-08-24,6.99
2007-08-27,7.03
2007-08-28,6.92
2007-08-29,7.06
2007-08-30,7.23
2007-08-31,7.28
2007-09-04,7.23
2007-09-05,7.1
2007-09-06,7.22
2007-09-07,6.75
2007-09-10,6.46
2007-09-11,6.45
2007-09-12,6.39
2007-09-13,6.45
2007-09-14,6.56
2007-09-17,6.41
2007-09-18,6.98
2007-09-19,7.2
2007-09-20,7.18
2007-09-21,7.09
2007-09-24,7.07
2007-09-25,6.88
2007-09-26,6.85
2007-09-27,6.96
2007-09-28,6.92
2007-10-01,7.01
2007-10-02,6.93
2007-10-03,7.08
2007-10-04,7.18
2007-10-05,7.52
2007-10-08,7.54
2007-10-09,7.48
2007-10-10,7.53
2007-10-11,7.38
2007-10-12,7.29
2007-10-15,6.98
2007-10-16,6.88
2007-10-17,6.95
2007-10-18,6.98
2007-10-19,6.5
2007-10-22,6.61
2007-10-23,6.76
2007-10-24,6.49
2007-10-25,6.35
2007-10-26,6.3
2007-10-29,6.25
2007-10-30,6.19
2007-10-31,6.21
2007-11-01,5.85
2007-11-02,5.92
2007-11-05,5.7
2007-11-06,5.66
2007-11-07,5.32
2007-11-08,5.2
2007-11-09,5.1
2007-11-12,5.28
2007-11-13,5.32
2007-11-14,5.33
2007-11-15,5.29
2007-11-16,5.42
2007-11-19,5.35
2007-11-20,5.33
2007-11-21,5.35
2007-11-23,5.7
2007-11-26,5.74
2007-11-27,5.64
2007-11-28,5.75
2007-11-29,5.54
2007-11-30,7.54
