"Index","SHLM.Close"
2007-01-03,22.21
2007-01-04,20.28
2007-01-05,19.97
2007-01-08,19.96
2007-01-09,19.97
2007-01-10,19.9
2007-01-11,20.81
2007-01-12,21.54
2007-01-16,20.66
2007-01-17,20.72
2007-01-18,20.46
2007-01-19,20.9
2007-01-22,20.52
2007-01-23,20.99
2007-01-24,20.98
2007-01-25,20.54
2007-01-26,20.63
2007-01-29,20.43
2007-01-30,20.99
2007-01-31,20.88
2007-02-01,20.97
2007-02-02,20.76
2007-02-05,20.29
2007-02-06,20.59
2007-02-07,20.72
2007-02-08,20.44
2007-02-09,20.38
2007-02-12,20.56
2007-02-13,21.08
2007-02-14,20.66
2007-02-15,20.59
2007-02-16,20.59
2007-02-20,21.11
2007-02-21,21.19
2007-02-22,21.12
2007-02-23,21.15
2007-02-26,21.18
2007-02-27,20.55
2007-02-28,21.09
2007-03-01,21.03
2007-03-02,20.66
2007-03-05,20.31
2007-03-06,20.97
2007-03-07,20.57
2007-03-08,20.54
2007-03-09,20.86
2007-03-12,21.04
2007-03-13,20.75
2007-03-14,20.83
2007-03-15,21.12
2007-03-16,20.8
2007-03-19,21.22
2007-03-20,21.37
2007-03-21,22.06
2007-03-22,22.03
2007-03-23,22.5
2007-03-26,22.74
2007-03-27,22.54
2007-03-28,23.18
2007-03-29,23.23
2007-03-30,23.56
2007-04-02,24.07
2007-04-03,23.79
2007-04-04,22.9
2007-04-05,22.17
2007-04-09,22.02
2007-04-10,22.07
2007-04-11,22.06
2007-04-12,22.02
2007-04-13,22.07
2007-04-16,23.05
2007-04-17,23
2007-04-18,22.75
2007-04-19,23.2
2007-04-20,23.37
2007-04-23,23.26
2007-04-24,23.15
2007-04-25,23.74
2007-04-26,23.98
2007-04-27,23.99
2007-04-30,23.16
2007-05-01,23.2
2007-05-02,23.73
2007-05-03,24.01
2007-05-04,24.11
2007-05-07,23.89
2007-05-08,24.02
2007-05-09,23.8
2007-05-10,23.16
2007-05-11,23.54
2007-05-14,23.2
2007-05-15,23.06
2007-05-16,23
2007-05-17,23.15
2007-05-18,23.11
2007-05-21,23.47
2007-05-22,24.21
2007-05-23,24.09
2007-05-24,24.09
2007-05-25,24.16
2007-05-29,24.26
2007-05-30,24.17
2007-05-31,24.19
2007-06-01,24.27
2007-06-04,24.5
2007-06-05,24.31
2007-06-06,24.06
2007-06-07,23.72
2007-06-08,24.01
2007-06-11,24
2007-06-12,23.96
2007-06-13,21.31
2007-06-14,21.1
2007-06-15,21.5
2007-06-18,21.43
2007-06-19,21.68
2007-06-20,21.39
2007-06-21,21.68
