"Index","SIM.Close"
2007-01-03,13.57
2007-01-04,13.31
2007-01-05,13.1
2007-01-08,12.8
2007-01-09,12.54
2007-01-10,13.36
2007-01-11,13.8
2007-01-12,13.91
2007-01-16,13.84
2007-01-17,13.3
2007-01-18,12.75
2007-01-19,13.7
2007-01-22,13.77
2007-01-23,14.45
2007-01-24,15
2007-01-25,14.53
2007-01-26,14.9
2007-01-29,14.79
2007-01-30,14.54
2007-01-31,14.53
2007-02-01,14.43
2007-02-02,14.46
2007-02-05,14.21
2007-02-06,13.65
2007-02-07,13.57
2007-02-08,12.94
2007-02-09,12.51
2007-02-12,12.65
2007-02-13,12.79
2007-02-14,13.02
2007-02-15,12.76
2007-02-16,12.78
2007-02-20,12.79
2007-02-21,12.87
2007-02-22,12.75
2007-02-23,12.78
2007-02-26,12.59
2007-02-27,11.74
2007-02-28,11.33
2007-03-01,11.17
2007-03-02,11.3
2007-03-05,10.87
2007-03-06,11.45
2007-03-07,11.27
2007-03-08,11.34
2007-03-09,11.98
2007-03-12,11.75
2007-03-13,11.24
2007-03-14,11.29
2007-03-15,11.3
2007-03-16,11.12
2007-03-19,11
2007-03-20,11.25
2007-03-21,11.82
2007-03-22,11.77
2007-03-23,11.59
2007-03-26,11.61
2007-03-27,11.65
2007-03-28,11.54
2007-03-29,12.2
2007-03-30,12.33
2007-04-02,12.29
2007-04-03,12.24
2007-04-04,12.23
2007-04-05,12.07
2007-04-09,12.3
2007-04-10,12.33
2007-04-11,12.31
2007-04-12,12.78
2007-04-13,13.14
2007-04-16,13.01
2007-04-17,12.9
2007-04-18,12.64
2007-04-19,12.53
2007-04-20,12.75
2007-04-23,12.65
2007-04-24,12.63
2007-04-25,12.77
2007-04-26,12.88
2007-04-27,12.62
2007-04-30,12.66
2007-05-01,12.71
2007-05-02,13.2
2007-05-03,13.92
2007-05-04,13.75
2007-05-07,13.95
2007-05-08,13.99
2007-05-09,14.1
2007-05-10,13.9
2007-05-11,14.15
2007-05-14,13.7
2007-05-15,13.59
2007-05-16,13.91
2007-05-17,13.86
2007-05-18,13.8
2007-05-21,14.15
2007-05-22,13.68
2007-05-23,13.92
2007-05-24,13.25
2007-05-25,13.26
2007-05-29,13.12
2007-05-30,13.49
2007-05-31,13.43
2007-06-01,13.81
2007-06-04,13.76
2007-06-05,13.69
2007-06-06,13.4
2007-06-07,12.98
2007-06-08,13.16
2007-06-11,13
2007-06-12,12.88
2007-06-13,13
2007-06-14,13.04
