"Index","STCA.Close"
2010-01-04,NA
2010-01-05,0
2010-01-08,0
2010-01-11,0
2010-01-12,-0.11778
2010-01-13,0.11778
2010-01-14,-0.18232
2010-01-15,0.18232
2010-01-19,-0.18232
2010-01-22,0.06454
2010-01-26,0.11778
2010-01-27,0.15415
2010-01-28,-0.04879
2010-01-29,0.40547
2010-02-01,0.03279
2010-02-02,-0.13815
2010-02-03,-0.07696
2010-02-04,0
2010-02-05,-0.08338
2010-02-08,0.08338
2010-02-10,-0.08338
2010-02-12,0.2657
2010-02-16,0.03279
2010-02-17,-0.03279
2010-02-19,0.12516
2010-02-22,-0.48184
2010-02-23,0.35667
2010-02-24,-0.10536
2010-02-26,-0.03774
2010-03-01,0.1431
2010-03-02,-0.0339
2010-03-03,-0.14842
2010-03-04,-0.12783
2010-03-08,0.31015
2010-03-09,-0.06899
2010-03-10,-0.07411
2010-03-12,0
2010-03-23,-0.03922
2010-03-24,-0.04082
2010-03-29,0.04082
2010-03-31,0.07696
2010-04-05,-0.16034
2010-04-08,0.04256
2010-04-09,0.04082
2010-04-12,0.14842
2010-04-14,-0.03509
2010-04-15,0
2010-04-20,-0.03637
2010-04-21,0.03637
2010-04-22,-0.11333
2010-04-23,-0.22314
2010-04-30,-0.16252
2010-05-05,0.42488
2010-05-06,-0.26236
2010-05-10,0
2010-05-13,-0.22314
2010-05-14,0.22314
2010-05-18,0
2010-05-21,0.37156
2010-05-26,-0.14842
2010-05-27,0
2010-05-28,0
2010-06-04,0.18232
2010-06-07,-0.40547
2010-06-11,0
2010-06-14,0.18232
2010-06-15,0
2010-06-16,-0.23361
2010-06-17,0
2010-06-18,-0.23639
2010-06-21,0
2010-06-22,0.28768
2010-06-23,-0.69315
2010-06-24,0.69315
2010-06-25,0
2010-06-28,0
2010-06-29,-0.28768
2010-06-30,0.28768
2010-07-01,-0.28768
2010-07-02,0.51083
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-12,0
2010-07-13,-0.27444
2010-07-14,0
2010-07-15,-0.64185
2010-07-16,0.58779
2010-07-19,0
2010-07-20,0
2010-07-21,-0.18232
2010-07-22,0.18232
2010-07-23,-0.18232
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0.23639
2010-07-30,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0.05129
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-16,0.04879
2010-08-17,-0.04879
2010-08-18,0.09531
2010-08-19,0
2010-08-20,-0.20067
2010-08-23,0
2010-08-24,-0.25131
2010-08-25,-0.33647
2010-08-26,-0.35667
2010-08-27,0.35667
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-07,0.18232
2010-09-08,0.22314
2010-09-09,0
2010-09-10,0
2010-09-13,0
2010-09-14,-0.51083
2010-09-15,0.51083
2010-09-17,0
2010-09-21,0
2010-09-28,-0.40547
2010-10-01,-0.10536
2010-10-11,-0.11778
2010-10-13,-0.13353
2010-10-14,0.13353
2010-10-15,0
2010-10-19,-0.13353
2010-10-20,-0.15415
2010-10-21,0
2010-10-22,0
2010-10-25,0
2010-10-26,0
2010-10-28,0.40547
2010-10-29,0.10536
2010-11-01,0
2010-11-02,-0.10536
2010-11-03,0
2010-11-05,-0.25131
2010-11-08,0.35667
2010-11-09,-0.10536
2010-11-12,0.10536
2010-11-19,0
2010-11-23,0
2010-11-29,0
2010-11-30,0
2010-12-01,0.18232
2010-12-02,-0.69315
2010-12-06,0.51083
2010-12-08,-0.10536
2010-12-09,0
2010-12-10,0
2010-12-13,-0.11778
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-20,0.22314
2010-12-21,-0.10536
2010-12-22,0
2010-12-23,0
2010-12-27,-0.40547
2010-12-28,0
2010-12-29,0.28768
2010-12-30,0.11778
