"Index","TC.Close"
2007-11-29,19.35
2007-11-30,19.9
2007-12-03,21.48
2007-12-04,19.3
2007-12-05,19.06
2007-12-06,19.49
2007-12-07,19.9
2007-12-10,20.22
2007-12-11,19.36
2007-12-12,18.71
2007-12-13,16.74
2007-12-14,16.34
2007-12-17,15.53
2007-12-18,15.49
2007-12-19,15.43
2007-12-20,16.23
2007-12-21,17.73
2007-12-24,18.18
2007-12-26,18.9
2007-12-27,17.99
2007-12-28,17.73
2007-12-31,17.11
2008-01-02,17.45
2008-01-03,17.36
2008-01-04,16.67
2008-01-07,15.67
2008-01-08,15.82
2008-01-09,15.3
2008-01-10,15.45
2008-01-11,14.89
2008-01-14,15.8
2008-01-15,16.08
2008-01-16,16.12
2008-01-17,15.11
2008-01-18,15.1
2008-01-22,13.84
2008-01-23,13.95
2008-01-24,15.07
2008-01-25,14.6
2008-01-28,15
2008-01-29,15.54
2008-01-30,16.21
2008-01-31,16.26
2008-02-01,16.73
2008-02-04,16.97
2008-02-05,15.43
2008-02-06,14.71
2008-02-07,15.16
2008-02-08,15.63
2008-02-11,16.35
2008-02-12,16.26
2008-02-13,16.87
2008-02-14,16.99
2008-02-15,17
2008-02-19,17.58
2008-02-20,18.71
2008-02-21,18.85
2008-02-22,19.41
2008-02-25,19.64
2008-02-26,19.45
2008-02-27,20.06
2008-02-28,20.49
2008-02-29,20.32
2008-03-03,20.53
2008-03-04,19.9
2008-03-05,20.68
2008-03-06,19.64
2008-03-07,19.15
2008-03-10,17.75
2008-03-11,18.65
2008-03-12,18.74
2008-03-13,20.12
2008-03-14,19.93
2008-03-17,18.17
2008-03-18,17.99
2008-03-19,16.71
2008-03-20,16.75
2008-03-24,17.19
2008-03-25,18.05
2008-03-26,18.37
2008-03-27,18.5
2008-03-28,18.42
2008-03-31,18.26
2008-04-01,18.46
2008-04-02,19.96
2008-04-03,20.89
2008-04-04,20.91
2008-04-07,21.63
2008-04-08,21.55
2008-04-09,21.43
2008-04-10,21.58
2008-04-11,21.21
2008-04-14,21.05
2008-04-15,21.5
2008-04-16,22.37
2008-04-17,22.63
2008-04-18,22.06
2008-04-21,21.51
2008-04-22,21.27
2008-04-23,21.74
2008-04-24,21.35
2008-04-25,21.76
2008-04-28,22.09
2008-04-29,21.01
2008-04-30,21.63
2008-05-01,20.96
2008-05-02,21.29
2008-05-05,22.2
2008-05-06,22.97
2008-05-07,23.1
2008-05-08,22.24
2008-05-09,22.74
2008-05-12,22.81
2008-05-13,22.53
2008-05-14,22.35
2008-05-15,23.06
2008-05-16,23.49
2008-05-19,24.45
2008-05-20,23.33
2008-05-21,22.7
2008-05-22,23
2008-05-23,22.4
2008-05-27,21.7
2008-05-28,21.45
2008-05-29,21.4
2008-05-30,21.81
2008-06-02,21.51
2008-06-03,21
2008-06-04,19.72
2008-06-05,20.53
2008-06-06,20.47
2008-06-09,20.8
2008-06-10,19.98
2008-06-11,19.41
2008-06-12,18.91
2008-06-13,19.43
2008-06-16,19.95
2008-06-17,20.31
2008-06-18,20.03
2008-06-19,19.83
2008-06-20,19.76
2008-06-23,20
