"Index","TCPC.Close"
2012-04-04,14.55
2012-04-05,14.7
2012-04-09,14.5
2012-04-10,14.5
2012-04-11,14.51
2012-04-12,14.53
2012-04-13,14.64
2012-04-16,14.55
2012-04-17,14.5
2012-04-18,14.49
2012-04-19,14.38
2012-04-20,14.45
2012-04-23,14.49
2012-04-24,14.45
2012-04-25,14.49
2012-04-26,14.31
2012-04-27,14.5
2012-04-30,14.43
2012-05-01,14.32
2012-05-02,14.71
2012-05-03,14.75
2012-05-04,14.75
2012-05-07,14.55
2012-05-08,14.46
2012-05-09,14.46
2012-05-10,14.45
2012-05-11,14.58
2012-05-14,14.56
2012-05-15,14.38
2012-05-16,14.5
2012-05-17,14.3
2012-05-18,14
2012-05-21,13.8
2012-05-22,14.45
2012-05-23,14.19
2012-05-24,13.97
2012-05-25,14.14
2012-05-29,14.3
2012-05-30,14.3
2012-05-31,14.5
2012-06-01,13.8
2012-06-04,13.87
2012-06-05,14.2
2012-06-06,14.33
2012-06-07,14.34
2012-06-08,14.5
2012-06-11,14.37
2012-06-12,14.21
2012-06-13,14.18
2012-06-14,14.27
2012-06-15,14.29
2012-06-18,14.37
2012-06-19,14.31
2012-06-20,14.31
2012-06-21,14.26
2012-06-22,14.36
2012-06-25,14.12
2012-06-26,14.3
2012-06-27,14.39
2012-06-28,14.49
2012-06-29,14.46
2012-07-02,14.75
2012-07-03,14.78
2012-07-05,14.49
2012-07-06,14.46
2012-07-09,14.45
2012-07-10,14.43
2012-07-11,14.46
2012-07-12,14.54
2012-07-13,14.49
2012-07-16,14.29
2012-07-17,14.45
2012-07-18,14.47
2012-07-19,14.23
2012-07-20,14.24
2012-07-23,14.28
2012-07-24,14.25
2012-07-25,14.35
2012-07-26,14.46
2012-07-27,14.5
2012-07-30,14.5
2012-07-31,14.52
2012-08-01,14.31
2012-08-02,14.34
2012-08-03,14.5
2012-08-06,14.49
2012-08-07,14.46
2012-08-08,14.6
2012-08-09,14.65
2012-08-10,14.64
2012-08-13,14.76
2012-08-14,14.66
2012-08-15,14.81
2012-08-16,14.82
2012-08-17,14.9
2012-08-20,14.88
2012-08-21,14.71
2012-08-22,14.7
2012-08-23,14.69
2012-08-24,14.9
2012-08-27,14.87
2012-08-28,14.94
2012-08-29,15.02
2012-08-30,15.1
2012-08-31,15.41
2012-09-04,15.5
2012-09-05,15.48
2012-09-06,15.45
2012-09-07,15.41
2012-09-10,15.37
2012-09-11,15.63
2012-09-12,15.31
2012-09-13,15.28
2012-09-14,15.42
2012-09-17,15.48
2012-09-18,15.47
2012-09-19,15.55
2012-09-20,15.32
2012-09-21,15.42
2012-09-24,15.42
2012-09-25,15.45
2012-09-26,15.7
2012-09-27,15.9
2012-09-28,15.96
2012-10-01,15.8
2012-10-02,15.61
2012-10-03,15.64
2012-10-04,15.75
2012-10-05,15.77
2012-10-08,15.56
2012-10-09,15.41
2012-10-10,15.6
2012-10-11,15.57
2012-10-12,15.67
2012-10-15,15.36
2012-10-16,15.48
2012-10-17,15.37
2012-10-18,15.4
2012-10-19,15.32
2012-10-22,15.35
2012-10-23,15.4
2012-10-24,15.26
2012-10-25,15.42
2012-10-26,15.31
2012-10-31,15.33
2012-11-01,15.37
2012-11-02,15.3
2012-11-05,15.4
2012-11-06,15.45
2012-11-07,15.16
2012-11-08,15.25
2012-11-09,15.23
2012-11-12,15.12
2012-11-13,15.17
2012-11-14,14.88
2012-11-15,15.09
2012-11-16,15.03
2012-11-19,15.1
2012-11-20,15
2012-11-21,15
2012-11-23,15
2012-11-26,15.03
2012-11-27,15.21
2012-11-28,14.98
2012-11-29,15
2012-11-30,15.01
2012-12-03,15
2012-12-04,15
2012-12-05,15
2012-12-06,14.99
2012-12-07,14.85
2012-12-10,14.8
2012-12-11,14.8
2012-12-12,14.74
2012-12-13,14.74
2012-12-14,14.89
2012-12-17,14.84
2012-12-18,14.75
2012-12-19,14.9
2012-12-20,14.89
2012-12-21,14.8
2012-12-24,14.82
2012-12-26,14.67
2012-12-27,14.76
2012-12-28,14.66
2012-12-31,14.74
2013-01-02,14.79
2013-01-03,14.74
2013-01-04,14.69
2013-01-07,14.79
2013-01-08,14.8
2013-01-09,14.71
2013-01-10,14.68
2013-01-11,14.69
2013-01-14,14.66
2013-01-15,14.64
2013-01-16,14.8
2013-01-17,14.9
2013-01-18,14.85
2013-01-22,14.86
2013-01-23,14.79
2013-01-24,14.76
2013-01-25,14.78
2013-01-28,14.76
2013-01-29,14.86
2013-01-30,14.77
2013-01-31,14.83
2013-02-01,14.94
2013-02-04,14.95
2013-02-05,14.99
2013-02-06,14.93
2013-02-07,14.78
2013-02-08,14.91
2013-02-11,14.86
2013-02-12,14.89
2013-02-13,15.12
2013-02-14,15.43
2013-02-15,15.48
2013-02-19,15.5
2013-02-20,15.3
2013-02-21,15.35
2013-02-22,15.5
2013-02-25,15.26
2013-02-26,15.34
2013-02-27,15.43
2013-02-28,15.68
2013-03-01,15.96
2013-03-04,15.79
2013-03-05,15.9
2013-03-06,15.53
2013-03-07,15.88
2013-03-08,15.68
2013-03-11,15.69
2013-03-12,15.88
2013-03-13,15.87
2013-03-14,15.84
2013-03-15,16.16
2013-03-18,15.98
2013-03-19,15.69
2013-03-20,16.03
2013-03-21,15.94
2013-03-22,15.75
2013-03-25,15.86
2013-03-26,15.7
2013-03-27,15.71
2013-03-28,15.96
2013-04-01,15.8
2013-04-02,15.86
2013-04-03,15.49
2013-04-04,15.33
2013-04-05,15.24
2013-04-08,15.39
2013-04-09,15.18
2013-04-10,15.52
2013-04-11,15.28
2013-04-12,15.33
2013-04-15,15.19
2013-04-16,15.47
2013-04-17,15.15
2013-04-18,15.01
2013-04-19,15.4
2013-04-22,15.41
2013-04-23,15.54
2013-04-24,15.69
2013-04-25,15.78
2013-04-26,15.66
2013-04-29,15.83
2013-04-30,15.67
2013-05-01,15.47
2013-05-02,15.65
2013-05-03,15.58
2013-05-06,15.73
2013-05-07,15.64
2013-05-08,15.67
2013-05-09,15.55
2013-05-10,15.7
2013-05-13,15.64
2013-05-14,15.91
2013-05-15,15.81
2013-05-16,15.87
2013-05-17,15.73
2013-05-20,16.2
2013-05-21,15.63
2013-05-22,15.68
2013-05-23,15.93
2013-05-24,15.97
2013-05-28,16.12
2013-05-29,16.26
2013-05-30,16.18
2013-05-31,16
2013-06-03,15.93
2013-06-04,16.05
2013-06-05,15.64
2013-06-06,15.76
2013-06-07,16.02
2013-06-10,16.02
2013-06-11,15.97
2013-06-12,15.62
2013-06-13,15.94
2013-06-14,16.02
2013-06-17,16.31
2013-06-18,16.23
2013-06-19,16.22
2013-06-20,16.22
2013-06-21,16.08
2013-06-24,15.97
2013-06-25,16.19
2013-06-26,16.23
2013-06-27,16.51
2013-06-28,16.77
2013-07-01,16.34
2013-07-02,16.18
2013-07-03,16.3
2013-07-05,16.11
2013-07-08,16.25
2013-07-09,16.41
2013-07-10,16.65
2013-07-11,16.68
2013-07-12,16.67
2013-07-15,16.8
2013-07-16,16.68
2013-07-17,16.65
2013-07-18,16.69
2013-07-19,16.8
2013-07-22,16.5
2013-07-23,16.48
2013-07-24,16.23
2013-07-25,16.35
2013-07-26,16.2
2013-07-29,16.27
2013-07-30,16.16
2013-07-31,15.89
2013-08-01,15.95
2013-08-02,16.02
2013-08-05,15.96
2013-08-06,15.84
2013-08-07,15.6
2013-08-08,15.57
2013-08-09,15.39
2013-08-12,15.29
2013-08-13,15.24
2013-08-14,15.26
2013-08-15,15.05
2013-08-16,15.11
2013-08-19,14.99
2013-08-20,15.22
2013-08-21,15.28
2013-08-22,15.45
2013-08-23,15.5
2013-08-26,15.64
2013-08-27,15.43
2013-08-28,15.47
2013-08-29,15.65
2013-08-30,15.58
2013-09-03,15.74
2013-09-04,15.99
2013-09-05,15.33
2013-09-06,15.43
2013-09-09,15.56
2013-09-10,15.81
2013-09-11,15.87
2013-09-12,15.9
2013-09-13,15.98
2013-09-16,16.01
2013-09-17,16.04
2013-09-18,16.05
2013-09-19,16.13
2013-09-20,16
2013-09-23,15.9
2013-09-24,16.22
2013-09-25,16.25
2013-09-26,15.64
2013-09-27,16.07
2013-09-30,16.23
2013-10-01,16.28
2013-10-02,16.26
2013-10-03,16.09
2013-10-04,16.12
2013-10-07,16.28
2013-10-08,16.06
2013-10-09,15.98
2013-10-10,16.26
2013-10-11,16.32
2013-10-14,16.35
2013-10-15,16.19
2013-10-16,16.31
2013-10-17,16.5
2013-10-18,16.51
2013-10-21,16.79
2013-10-22,16.8
2013-10-23,16.84
2013-10-24,16.85
2013-10-25,16.9
2013-10-28,16.85
2013-10-29,16.78
2013-10-30,16.71
2013-10-31,16.67
2013-11-01,16.89
2013-11-04,17.01
2013-11-05,16.95
2013-11-06,16.92
2013-11-07,16.88
2013-11-08,17.27
2013-11-11,17.31
2013-11-12,17.18
2013-11-13,17.26
2013-11-14,17.27
2013-11-15,17.3
2013-11-18,17.42
2013-11-19,17.11
2013-11-20,17.05
2013-11-21,17.15
2013-11-22,17.21
2013-11-25,17.33
2013-11-26,16.91
2013-11-27,17.06
2013-11-29,17.3
2013-12-02,16.93
2013-12-03,16.87
2013-12-04,16.98
2013-12-05,16.81
2013-12-06,16.62
2013-12-09,16.68
2013-12-10,16.52
2013-12-11,16.57
2013-12-12,16.49
2013-12-13,16.11
2013-12-16,16.45
2013-12-17,16.85
2013-12-18,17.05
2013-12-19,16.81
2013-12-20,16.86
2013-12-23,16.91
2013-12-24,16.81
2013-12-26,16.84
2013-12-27,16.98
2013-12-30,16.74
2013-12-31,16.78
2014-01-02,16.71
2014-01-03,16.87
2014-01-06,16.98
2014-01-07,17.09
2014-01-08,17.09
