"Index","THRX.Close"
2007-01-03,31.36
2007-01-04,31.59
2007-01-05,31.54
2007-01-08,31.69
2007-01-09,32
2007-01-10,31.87
2007-01-11,32.06
2007-01-12,33.6
2007-01-16,35.85
2007-01-17,35.52
2007-01-18,34.38
2007-01-19,34.78
2007-01-22,34.69
2007-01-23,34.96
2007-01-24,34.99
2007-01-25,34.69
2007-01-26,33.87
2007-01-29,34.35
2007-01-30,34.32
2007-01-31,34.32
2007-02-01,35.46
2007-02-02,35
2007-02-05,35.17
2007-02-06,35.55
2007-02-07,36.24
2007-02-08,36.74
2007-02-09,35.55
2007-02-12,34.99
2007-02-13,34.23
2007-02-14,34
2007-02-15,33.41
2007-02-16,33.28
2007-02-20,32.99
2007-02-21,34.7
2007-02-22,33.98
2007-02-23,33.89
2007-02-26,33.29
2007-02-27,32.77
2007-02-28,32.25
2007-03-01,31.85
2007-03-02,30.88
2007-03-05,31.04
2007-03-06,30.99
2007-03-07,30.73
2007-03-08,30.62
2007-03-09,30.59
2007-03-12,30.82
2007-03-13,30.09
2007-03-14,30
2007-03-15,30.42
2007-03-16,30
2007-03-19,29.75
2007-03-20,29.75
2007-03-21,29.86
2007-03-22,29.77
2007-03-23,29.81
2007-03-26,29.48
2007-03-27,29.32
2007-03-28,29.22
2007-03-29,29.33
2007-03-30,29.5
2007-04-02,29.7
2007-04-03,28.74
2007-04-04,29.52
2007-04-05,30
2007-04-09,30.48
2007-04-10,31.88
2007-04-11,31.77
2007-04-12,32.35
2007-04-13,32.41
2007-04-16,32.64
2007-04-17,32.43
2007-04-18,32.31
2007-04-19,32.15
2007-04-20,32.37
2007-04-23,33.27
2007-04-24,33.32
2007-04-25,33.25
2007-04-26,33.07
2007-04-27,33.68
2007-04-30,33.13
2007-05-01,32.44
2007-05-02,32.7
2007-05-03,32.71
2007-05-04,32.75
2007-05-07,33.35
2007-05-08,33.29
2007-05-09,33.27
2007-05-10,33.36
2007-05-11,33.8
2007-05-14,33.7
2007-05-15,33.75
2007-05-16,33.67
2007-05-17,34.11
2007-05-18,34.24
2007-05-21,35.43
2007-05-22,36.81
2007-05-23,35.25
2007-05-24,34.37
2007-05-25,34.57
2007-05-29,34.77
2007-05-30,34.71
2007-05-31,34.34
2007-06-01,34.04
2007-06-04,34.22
2007-06-05,34.27
2007-06-06,34.98
2007-06-07,34.15
2007-06-08,34.01
2007-06-11,33.88
2007-06-12,33.6
2007-06-13,33.96
2007-06-14,33.59
2007-06-15,33.2
2007-06-18,32.6
2007-06-19,32.07
2007-06-20,31.34
2007-06-21,31.35
2007-06-22,31.9
2007-06-25,31.32
2007-06-26,32.46
2007-06-27,33.12
2007-06-28,33.59
2007-06-29,32
2007-07-02,32.78
2007-07-03,33.13
2007-07-05,32.79
2007-07-06,32.44
2007-07-09,31.91
2007-07-10,31.39
2007-07-11,32.75
2007-07-12,32.84
2007-07-13,32.88
2007-07-16,32.77
2007-07-17,32.72
2007-07-18,32
2007-07-19,32.2
2007-07-20,31.27
2007-07-23,31
2007-07-24,30.58
2007-07-25,30.54
2007-07-26,29.35
2007-07-27,27.7
2007-07-30,27.77
2007-07-31,26.77
2007-08-01,26.1
2007-08-02,27.2
2007-08-03,28.45
2007-08-06,27.77
2007-08-07,28.29
2007-08-08,29.04
2007-08-09,29.6
2007-08-10,28.28
2007-08-13,27.69
2007-08-14,27.6
2007-08-15,27.86
2007-08-16,28.53
2007-08-17,29.57
2007-08-20,29.12
2007-08-21,29.35
2007-08-22,29.49
2007-08-23,30.17
2007-08-24,30.41
2007-08-27,30.1
2007-08-28,30.43
2007-08-29,30.1
2007-08-30,30.98
2007-08-31,31.41
2007-09-04,32.05
2007-09-05,31.9
2007-09-06,31.75
2007-09-07,28.38
2007-09-10,28.78
2007-09-11,29.01
2007-09-12,28.5
2007-09-13,28
2007-09-14,27.32
2007-09-17,27.44
2007-09-18,28.06
2007-09-19,26.85
2007-09-20,26.51
2007-09-21,26.26
2007-09-24,26.52
2007-09-25,25.43
2007-09-26,24.69
2007-09-27,24.44
2007-09-28,26.09
2007-10-01,26.51
2007-10-02,26.94
2007-10-03,27.08
2007-10-04,26.42
2007-10-05,26.44
2007-10-08,27.99
2007-10-09,27.31
2007-10-10,27.4
2007-10-11,26.7
2007-10-12,26.92
2007-10-15,26.11
2007-10-16,26.42
2007-10-17,25.83
2007-10-18,26
2007-10-19,25.46
2007-10-22,24.8
2007-10-23,24.13
2007-10-24,23.45
2007-10-25,23.06
2007-10-26,23.97
2007-10-29,24.27
2007-10-30,24.27
2007-10-31,25.02
2007-11-01,24.24
2007-11-02,24.77
2007-11-05,24.52
2007-11-06,24.55
2007-11-07,24.67
2007-11-08,24.66
2007-11-09,23.94
2007-11-12,24.05
2007-11-13,24.84
2007-11-14,25.21
2007-11-15,24.55
