"Index","TSRX.Close"
2010-08-03,5
2010-08-04,5.47
2010-08-05,5.01
2010-08-06,5
2010-08-09,5
2010-08-10,4.75
2010-08-11,4.73
2010-08-12,4.57
2010-08-13,4.58
2010-08-16,4.39
2010-08-17,4.51
2010-08-18,4.45
2010-08-19,4.53
2010-08-20,4.27
2010-08-23,4.26
2010-08-24,4.05
2010-08-25,4.05
2010-08-26,4
2010-08-27,3.94
2010-08-30,4
2010-08-31,4.02
2010-09-01,4
2010-09-02,4.03
2010-09-03,4.21
2010-09-07,4.08
2010-09-08,4.07
2010-09-09,4.01
2010-09-10,4
2010-09-13,4.3
2010-09-14,4.6
2010-09-15,4.53
2010-09-16,4.21
2010-09-17,4.5
2010-09-20,4.35
2010-09-21,4.3
2010-09-22,4.25
2010-09-23,4.2
2010-09-24,4.2
2010-09-27,4.22
2010-09-28,4
2010-09-29,4.05
2010-09-30,3.96
2010-10-01,3.99
2010-10-04,3.76
2010-10-05,3.81
2010-10-06,3.95
2010-10-07,4.19
2010-10-08,3.96
2010-10-11,3.88
2010-10-12,4.03
2010-10-13,3.98
2010-10-14,3.85
2010-10-15,3.91
2010-10-18,3.87
2010-10-19,3.88
2010-10-20,3.89
2010-10-21,4.05
2010-10-22,4
2010-10-25,4
2010-10-26,4
2010-10-27,3.95
2010-10-28,3.77
2010-10-29,3.62
2010-11-01,3.51
2010-11-02,3.43
2010-11-03,3.5
2010-11-04,3.15
2010-11-05,3.18
2010-11-08,3.2
2010-11-09,3.15
2010-11-10,3.16
2010-11-11,3.18
2010-11-12,3.25
2010-11-15,3.41
2010-11-16,3.26
2010-11-17,3.3
2010-11-18,3.28
2010-11-19,3.37
2010-11-22,3.57
2010-11-23,3.5
2010-11-24,3.5
2010-11-26,3.5
2010-11-29,3.3
2010-11-30,3.36
2010-12-01,3.22
2010-12-02,3.3
2010-12-03,3.23
2010-12-06,3.02
2010-12-07,3.02
2010-12-08,3.05
2010-12-09,3.23
2010-12-10,3.36
2010-12-13,3.37
2010-12-14,3.47
