"Index","UTF.Close"
2007-01-03,24.56
2007-01-04,24.55
2007-01-05,24.17
2007-01-08,24.1
2007-01-09,24.06
2007-01-10,23.88
2007-01-11,23.86
2007-01-12,23.75
2007-01-16,23.79
2007-01-17,23.83
2007-01-18,23.7
2007-01-19,23.77
2007-01-22,23.86
2007-01-23,23.99
2007-01-24,24.08
2007-01-25,23.98
2007-01-26,23.99
2007-01-29,24.01
2007-01-30,24.12
2007-01-31,24.21
2007-02-01,24.5
2007-02-02,24.67
2007-02-05,24.91
2007-02-06,25.06
2007-02-07,25.14
2007-02-08,25.23
2007-02-09,25.26
2007-02-12,25.11
2007-02-13,25.11
2007-02-14,25.18
2007-02-15,25.07
2007-02-16,25
2007-02-20,25.1
2007-02-21,25.03
2007-02-22,25.04
2007-02-23,25.22
2007-02-26,26
2007-02-27,25.16
2007-02-28,25.35
2007-03-01,25.39
2007-03-02,24.98
2007-03-05,24.76
2007-03-06,24.76
2007-03-07,24.8
2007-03-08,24.77
2007-03-09,24.82
2007-03-12,24.99
2007-03-13,24.6
2007-03-14,24.7
2007-03-15,24.97
2007-03-16,24.88
2007-03-19,25.07
2007-03-20,25.38
2007-03-21,25.85
2007-03-22,26
2007-03-23,26.06
2007-03-26,26.17
2007-03-27,26.11
2007-03-28,26.11
2007-03-29,26.22
2007-03-30,26.19
2007-04-02,26.53
2007-04-03,26.74
2007-04-04,26.71
2007-04-05,26.72
2007-04-09,26.87
2007-04-10,26.94
2007-04-11,26.86
2007-04-12,26.71
2007-04-13,26.7
2007-04-16,26.82
2007-04-17,26.96
2007-04-18,27.05
2007-04-19,26.83
2007-04-20,27.03
2007-04-23,27.22
2007-04-24,27.37
2007-04-25,27.64
2007-04-26,27.67
2007-04-27,27.51
2007-04-30,27.33
2007-05-01,27.55
2007-05-02,27.77
2007-05-03,27.89
2007-05-04,27.99
2007-05-07,28.25
2007-05-08,28.09
2007-05-09,28.27
2007-05-10,28.06
2007-05-11,28.02
2007-05-14,28.12
2007-05-15,28.21
2007-05-16,28.38
2007-05-17,28.27
2007-05-18,28.45
2007-05-21,28.55
2007-05-22,28.44
2007-05-23,28.19
2007-05-24,27.4
2007-05-25,27.08
2007-05-29,27.4
2007-05-30,27.8
2007-05-31,27.84
2007-06-01,27.64
2007-06-04,27.59
2007-06-05,27.44
2007-06-06,26.81
2007-06-07,25.94
2007-06-08,26.2
2007-06-11,26.41
2007-06-12,25.96
2007-06-13,26.33
2007-06-14,26.55
2007-06-15,26.94
2007-06-18,26.73
2007-06-19,26.83
2007-06-20,26.36
2007-06-21,26.26
2007-06-22,26
2007-06-25,26
2007-06-26,25.91
2007-06-27,26.25
2007-06-28,26.3
2007-06-29,26.25
2007-07-02,26.76
2007-07-03,26.93
2007-07-05,26.79
2007-07-06,26.56
2007-07-09,26.5
2007-07-10,26.18
2007-07-11,26.1
2007-07-12,26.54
2007-07-13,27.04
2007-07-16,26.75
2007-07-17,26.59
2007-07-18,26.55
2007-07-19,27.14
2007-07-20,26.76
2007-07-23,26.86
2007-07-24,26.11
2007-07-25,25.92
2007-07-26,25.01
2007-07-27,24.71
2007-07-30,24.79
2007-07-31,24.66
2007-08-01,25.1
2007-08-02,25.47
2007-08-03,24.83
2007-08-06,25.14
2007-08-07,25.68
2007-08-08,25.94
2007-08-09,25.59
2007-08-10,25.39
2007-08-13,25.24
2007-08-14,24.58
2007-08-15,24.07
2007-08-16,23.12
2007-08-17,23.93
2007-08-20,24.33
2007-08-21,24.65
2007-08-22,25.03
2007-08-23,25.25
2007-08-24,25.42
2007-08-27,24.87
2007-08-28,24.37
2007-08-29,24.83
2007-08-30,24.63
2007-08-31,25.06
2007-09-04,25.57
2007-09-05,25.36
2007-09-06,25.41
2007-09-07,25.02
2007-09-10,25.13
2007-09-11,25.38
2007-09-12,25.41
2007-09-13,25.49
2007-09-14,25.52
2007-09-17,25.45
2007-09-18,25.99
2007-09-19,26.38
2007-09-20,26.3
2007-09-21,26.36
2007-09-24,26.32
2007-09-25,26.31
2007-09-26,26.41
2007-09-27,26.31
2007-09-28,26.08
2007-10-01,26.44
2007-10-02,26.45
2007-10-03,26.33
2007-10-04,26.51
2007-10-05,26.88
2007-10-08,26.88
2007-10-09,27.14
2007-10-10,27.44
2007-10-11,27.35
2007-10-12,27.32
2007-10-15,27.14
2007-10-16,27.09
2007-10-17,27.11
2007-10-18,27.24
2007-10-19,26.43
2007-10-22,26.57
2007-10-23,26.65
2007-10-24,26.76
2007-10-25,27.34
2007-10-26,27.77
2007-10-29,27.93
2007-10-30,27.94
2007-10-31,28.26
2007-11-01,27.89
2007-11-02,27.56
2007-11-05,27.76
2007-11-06,27.85
2007-11-07,27.3
2007-11-08,27.69
2007-11-09,27.47
2007-11-12,27.14
2007-11-13,27.04
2007-11-14,27.06
2007-11-15,26.96
2007-11-16,27.15
2007-11-19,27.13
2007-11-20,27.46
2007-11-21,27.2
2007-11-23,27.4
2007-11-26,27.06
2007-11-27,27.61
2007-11-28,27.81
2007-11-29,27.73
2007-11-30,28.36
2007-12-03,28.48
2007-12-04,28.55
2007-12-05,28.69
2007-12-06,28.82
2007-12-07,28.96
2007-12-10,29.14
2007-12-11,28.65
2007-12-12,28.18
2007-12-13,28.39
2007-12-14,28.54
2007-12-17,28.45
2007-12-18,28.71
2007-12-19,28.84
2007-12-20,28.84
2007-12-21,27.56
2007-12-24,27.61
2007-12-26,27.67
2007-12-27,27.46
2007-12-28,27.69
2007-12-31,27.5
2008-01-02,27.23
2008-01-03,27.4
2008-01-04,27.3
2008-01-07,27.68
2008-01-08,28.13
2008-01-09,28.16
2008-01-10,28.14
2008-01-11,28
2008-01-14,27.8
2008-01-15,27.71
2008-01-16,27.24
2008-01-17,26.18
2008-01-18,25.37
2008-01-22,24.74
2008-01-23,24.79
2008-01-24,24.91
2008-01-25,24.7
2008-01-28,24.8
2008-01-29,25.02
2008-01-30,24.95
2008-01-31,25.47
2008-02-01,26.19
2008-02-04,26.42
2008-02-05,25.57
2008-02-06,25.44
2008-02-07,25.44
2008-02-08,24.88
2008-02-11,24.82
2008-02-12,25.07
2008-02-13,24.79
2008-02-14,24.08
2008-02-15,24.5
2008-02-19,24.16
2008-02-20,24.4
2008-02-21,24.2
2008-02-22,24.64
2008-02-25,25.07
2008-02-26,25.32
2008-02-27,25.09
2008-02-28,24.72
2008-02-29,24.06
2008-03-03,24.55
2008-03-04,24.4
2008-03-05,24.52
2008-03-06,24.12
2008-03-07,23.42
2008-03-10,22.49
2008-03-11,23.77
2008-03-12,22.78
2008-03-13,23.01
2008-03-14,22.72
2008-03-17,22.59
2008-03-18,23.21
2008-03-19,23
2008-03-20,22.9
2008-03-24,22.97
2008-03-25,22.97
2008-03-26,22.91
2008-03-27,23
2008-03-28,22.87
2008-03-31,22.89
2008-04-01,23.53
2008-04-02,23.9
2008-04-03,23.85
2008-04-04,24.24
2008-04-07,24.12
2008-04-08,24.1
2008-04-09,24.04
2008-04-10,23.69
2008-04-11,23.2
2008-04-14,23.27
2008-04-15,23.31
2008-04-16,23.67
2008-04-17,23.81
2008-04-18,23.95
2008-04-21,23.78
2008-04-22,23.85
2008-04-23,24.26
2008-04-24,24.36
2008-04-25,24.46
2008-04-28,24.48
2008-04-29,24.3
2008-04-30,24.3
2008-05-01,24.84
2008-05-02,25.12
2008-05-05,24.8
2008-05-06,24.7
2008-05-07,24.46
2008-05-08,24.55
2008-05-09,24.74
2008-05-12,25.04
2008-05-13,24.84
2008-05-14,25.01
2008-05-15,24.95
2008-05-16,25.2
2008-05-19,25.41
2008-05-20,25.49
2008-05-21,25.5
2008-05-22,25.75
2008-05-23,25.4
2008-05-27,25.47
2008-05-28,25.39
2008-05-29,25.48
2008-05-30,25.72
2008-06-02,25.29
2008-06-03,25.09
2008-06-04,25.33
2008-06-05,25.69
2008-06-06,25.02
2008-06-09,25.27
2008-06-10,25.4
2008-06-11,24.89
2008-06-12,24.74
2008-06-13,25.23
2008-06-16,25.12
2008-06-17,25.07
2008-06-18,25.02
2008-06-19,25.18
2008-06-20,24.9
2008-06-23,25.02
2008-06-24,24.92
2008-06-25,24.89
2008-06-26,24.33
2008-06-27,23.98
2008-06-30,24.4
2008-07-01,24.61
2008-07-02,24.51
2008-07-03,24.5
2008-07-07,23.77
2008-07-08,24.07
2008-07-09,24.28
2008-07-10,24.33
2008-07-11,23.95
2008-07-14,23.14
2008-07-15,22.4
2008-07-16,22.32
2008-07-17,22.08
2008-07-18,22.42
2008-07-21,23.04
2008-07-22,22.62
2008-07-23,22.48
2008-07-24,22.2
2008-07-25,22.05
2008-07-28,22
2008-07-29,22.28
2008-07-30,22.68
2008-07-31,22.55
2008-08-01,22.2
2008-08-04,21.89
2008-08-05,22.24
2008-08-06,21.96
2008-08-07,21.48
2008-08-08,21.94
2008-08-11,22.21
2008-08-12,21.83
2008-08-13,21.35
2008-08-14,21.04
2008-08-15,21.1
2008-08-18,21.36
2008-08-19,21.51
2008-08-20,21.43
2008-08-21,21.47
2008-08-22,21.58
2008-08-25,21.43
2008-08-26,21.79
2008-08-27,21.98
2008-08-28,22.22
2008-08-29,22.13
2008-09-02,21.84
2008-09-03,21.28
2008-09-04,20.54
2008-09-05,20.12
2008-09-08,20.28
2008-09-09,19.72
2008-09-10,19.25
2008-09-11,18.74
2008-09-12,18.97
2008-09-15,18.22
2008-09-16,17.12
2008-09-17,16.17
2008-09-18,16.08
2008-09-19,17.79
2008-09-22,17.51
2008-09-23,17.23
2008-09-24,16.92
2008-09-25,16.63
2008-09-26,16.91
2008-09-29,15.19
2008-09-30,15.9
2008-10-01,16.28
2008-10-02,15.79
2008-10-03,15.38
2008-10-06,14.01
2008-10-07,12.82
2008-10-08,12.04
2008-10-09,10.36
2008-10-10,9.25
2008-10-13,11.17
2008-10-14,11.79
2008-10-15,11.14
2008-10-16,10.85
2008-10-17,11.7
2008-10-20,12.91
2008-10-21,12.54
2008-10-22,10.91
2008-10-23,11.36
2008-10-24,11.34
2008-10-27,10.93
2008-10-28,11.39
2008-10-29,11.86
2008-10-30,11.92
2008-10-31,12.38
2008-11-03,12.79
2008-11-04,12.73
2008-11-05,12.31
2008-11-06,11.36
2008-11-07,12.25
2008-11-10,11.84
2008-11-11,11.9
2008-11-12,10.9
2008-11-13,11.3
2008-11-14,10.84
2008-11-17,11.02
2008-11-18,10.63
2008-11-19,9.8
2008-11-20,8.24
2008-11-21,8.69
2008-11-24,9.5
2008-11-25,9.9
2008-11-26,10.51
2008-11-28,11.37
2008-12-01,10.56
2008-12-02,10.58
2008-12-03,11.14
2008-12-04,10.57
2008-12-05,11.11
2008-12-08,11.4
2008-12-09,11.5
2008-12-10,11.54
2008-12-11,11.12
2008-12-12,10.53
2008-12-15,10.24
2008-12-16,10.42
2008-12-17,10.47
2008-12-18,9.63
2008-12-19,9.98
2008-12-22,10.09
2008-12-23,9.97
2008-12-24,10.02
2008-12-26,10.16
2008-12-29,9.98
2008-12-30,10.15
2008-12-31,10.3
2009-01-02,11.15
2009-01-05,12.06
2009-01-06,12.36
2009-01-07,11.8
2009-01-08,11.44
2009-01-09,11.53
2009-01-12,11.53
2009-01-13,11.34
2009-01-14,10.94
2009-01-15,10.82
2009-01-16,11
2009-01-20,10.28
2009-01-21,11
2009-01-22,11.18
2009-01-23,11.29
2009-01-26,11.4
2009-01-27,11.55
2009-01-28,11.84
2009-01-29,11.66
2009-01-30,11.33
2009-02-02,11.48
2009-02-03,11.57
2009-02-04,11.56
2009-02-05,11.56
2009-02-06,11.84
2009-02-09,11.77
2009-02-10,11.64
2009-02-11,11.61
2009-02-12,11.31
2009-02-13,11.22
2009-02-17,10.6
2009-02-18,10.25
2009-02-19,9.91
2009-02-20,9.18
2009-02-23,8.65
2009-02-24,8.94
2009-02-25,9.16
2009-02-26,9.16
2009-02-27,9.13
2009-03-02,8.3
2009-03-03,7.74
2009-03-04,8.05
2009-03-05,7.42
2009-03-06,7.08
2009-03-09,6.78
2009-03-10,7.29
2009-03-11,7.25
2009-03-12,7.65
2009-03-13,7.71
2009-03-16,7.92
2009-03-17,8.29
2009-03-18,8.62
2009-03-19,8.72
2009-03-20,8.69
2009-03-23,9.18
2009-03-24,9.09
2009-03-25,9.25
2009-03-26,9.37
2009-03-27,9.07
2009-03-30,8.88
2009-03-31,9.01
2009-04-01,9.33
2009-04-02,9.62
2009-04-03,9.5
2009-04-06,9.51
2009-04-07,9.29
2009-04-08,9.45
2009-04-09,9.53
2009-04-13,9.37
2009-04-14,9.31
2009-04-15,9.46
2009-04-16,9.72
2009-04-17,9.68
2009-04-20,9.38
2009-04-21,9.3
2009-04-22,9.4
2009-04-23,9.41
2009-04-24,9.43
2009-04-27,9.53
2009-04-28,9.65
2009-04-29,9.75
2009-04-30,9.79
2009-05-01,10
2009-05-04,10.22
2009-05-05,10.33
2009-05-06,10.51
2009-05-07,10.5
2009-05-08,10.6
2009-05-11,10.61
2009-05-12,10.77
2009-05-13,10.4
2009-05-14,10.34
2009-05-15,10.1
2009-05-18,10.4
2009-05-19,10.35
2009-05-20,10.39
2009-05-21,10.36
2009-05-22,10.49
2009-05-26,10.72
2009-05-27,10.86
2009-05-28,11.05
2009-05-29,11.08
2009-06-01,11.41
2009-06-02,11.4
2009-06-03,11.48
2009-06-04,11.5
2009-06-05,11.53
2009-06-08,11.53
2009-06-09,11.43
2009-06-10,11.53
2009-06-11,11.79
2009-06-12,11.76
2009-06-15,11.86
2009-06-16,11.89
2009-06-17,11.85
2009-06-18,11.75
2009-06-19,11.68
2009-06-22,11.65
2009-06-23,11.54
2009-06-24,11.8
2009-06-25,11.89
2009-06-26,11.93
2009-06-29,12.1
2009-06-30,12.14
2009-07-01,12.25
2009-07-02,12.14
2009-07-06,12.16
2009-07-07,11.93
2009-07-08,11.9
2009-07-09,11.97
2009-07-10,11.98
2009-07-13,11.84
2009-07-14,12.02
2009-07-15,12.15
2009-07-16,12.32
2009-07-17,12.48
2009-07-20,12.73
2009-07-21,12.54
2009-07-22,12.49
2009-07-23,12.75
2009-07-24,13.11
2009-07-27,13.21
2009-07-28,13.19
2009-07-29,13.1
2009-07-30,13.13
2009-07-31,13.23
2009-08-03,13.35
2009-08-04,13.45
2009-08-05,13.24
2009-08-06,13
2009-08-07,13.3
2009-08-10,13.22
2009-08-11,13.3
2009-08-12,13.31
2009-08-13,13.35
2009-08-14,13.38
2009-08-17,13.01
2009-08-18,12.92
2009-08-19,13
2009-08-20,13.16
2009-08-21,13.39
2009-08-24,13.53
2009-08-25,13.61
2009-08-26,13.61
2009-08-27,13.59
2009-08-28,13.52
2009-08-31,13.28
2009-09-01,12.97
2009-09-02,12.87
2009-09-03,12.8
2009-09-04,12.84
2009-09-08,12.98
2009-09-09,13.14
2009-09-10,13.35
2009-09-11,13.34
2009-09-14,13.51
2009-09-15,13.88
2009-09-16,14.21
2009-09-17,14.36
2009-09-18,14.57
2009-09-21,14.17
2009-09-22,14.02
2009-09-23,14.07
2009-09-24,13.88
2009-09-25,13.9
2009-09-28,13.92
2009-09-29,13.82
2009-09-30,13.86
2009-10-01,13.61
2009-10-02,13.42
2009-10-05,13.63
2009-10-06,13.8
2009-10-07,13.76
2009-10-08,13.81
2009-10-09,13.86
2009-10-12,13.99
2009-10-13,14.05
2009-10-14,14.03
2009-10-15,14.08
2009-10-16,14.16
2009-10-19,14.28
2009-10-20,14.23
2009-10-21,14.07
2009-10-22,14.2
2009-10-23,14.1
2009-10-26,13.74
2009-10-27,13.76
2009-10-28,13.04
2009-10-29,13.36
2009-10-30,13.24
2009-11-02,13.05
2009-11-03,12.95
2009-11-04,13.05
2009-11-05,13.37
2009-11-06,13.38
2009-11-09,13.61
2009-11-10,13.71
2009-11-11,13.77
2009-11-12,13.53
2009-11-13,13.55
2009-11-16,13.76
2009-11-17,13.72
2009-11-18,13.73
2009-11-19,13.54
2009-11-20,13.76
2009-11-23,13.83
2009-11-24,13.92
2009-11-25,14.11
2009-11-27,13.95
2009-11-30,14.08
2009-12-01,14.44
2009-12-02,14.86
2009-12-03,14.9
2009-12-04,15.1
2009-12-07,15.7
2009-12-08,15.7
2009-12-09,15.9
