"Index","VOLC.Close"
2007-01-03,16.59
2007-01-04,16.85
2007-01-05,17.06
2007-01-08,17.2
2007-01-09,17.59
2007-01-10,18.02
2007-01-11,18.66
2007-01-12,18.56
2007-01-16,18.39
2007-01-17,18.8
2007-01-18,18.36
2007-01-19,18.9
2007-01-22,18.98
2007-01-23,19.77
2007-01-24,20.18
2007-01-25,19.11
2007-01-26,19.56
2007-01-29,19.75
2007-01-30,19.89
2007-01-31,19.34
2007-02-01,19.5
2007-02-02,21.07
2007-02-05,21.57
2007-02-06,21.14
2007-02-07,21
2007-02-08,21.26
2007-02-09,20.94
2007-02-12,19.5
2007-02-13,19.7
2007-02-14,18.53
2007-02-15,19.1
2007-02-16,19.02
2007-02-20,19.03
2007-02-21,19.46
2007-02-22,19.56
2007-02-23,19.38
2007-02-26,19.54
2007-02-27,18.83
2007-02-28,19.01
2007-03-01,18.09
2007-03-02,17.82
2007-03-05,17.15
2007-03-06,17.41
2007-03-07,17.44
2007-03-08,17.41
2007-03-09,17.41
2007-03-12,17.84
2007-03-13,18
2007-03-14,18.09
2007-03-15,18.91
2007-03-16,18.85
2007-03-19,17.95
2007-03-20,18
2007-03-21,17.81
2007-03-22,17.64
2007-03-23,17.69
2007-03-26,17.89
2007-03-27,18.15
2007-03-28,17.99
2007-03-29,17.56
2007-03-30,18.01
2007-04-02,17.67
2007-04-03,17.8
2007-04-04,18.07
2007-04-05,18.02
2007-04-09,18.06
2007-04-10,18
2007-04-11,19.07
2007-04-12,20.07
2007-04-13,20.11
2007-04-16,21.37
2007-04-17,22
2007-04-18,20.97
2007-04-19,21.12
2007-04-20,21.45
2007-04-23,21.2
2007-04-24,20.52
2007-04-25,20.44
2007-04-26,20.53
2007-04-27,20.56
2007-04-30,20.18
2007-05-01,20.27
2007-05-02,21.04
2007-05-03,20.69
2007-05-04,20.73
2007-05-07,21.12
2007-05-08,21.95
2007-05-09,22.3
2007-05-10,20.83
2007-05-11,20.9
2007-05-14,20.77
2007-05-15,19.91
2007-05-16,19.4
2007-05-17,19.21
2007-05-18,19.41
2007-05-21,19.92
2007-05-22,19.99
2007-05-23,19.91
2007-05-24,19.74
2007-05-25,19.8
2007-05-29,20.02
2007-05-30,20.2
2007-05-31,20.26
2007-06-01,20.63
2007-06-04,21.09
2007-06-05,21.42
2007-06-06,21.15
2007-06-07,21.07
2007-06-08,21.12
2007-06-11,20.74
2007-06-12,20.23
2007-06-13,20.66
2007-06-14,20.81
2007-06-15,21.13
2007-06-18,21.38
2007-06-19,21.48
2007-06-20,20.8
2007-06-21,20.13
2007-06-22,19.58
2007-06-25,19.2
2007-06-26,19.17
2007-06-27,20.3
2007-06-28,20.24
2007-06-29,20.21
2007-07-02,20.33
2007-07-03,20.54
2007-07-05,20.71
2007-07-06,20.8
2007-07-09,20.21
2007-07-10,19.17
2007-07-11,19.08
2007-07-12,19.55
2007-07-13,19.66
2007-07-16,18.99
2007-07-17,18.44
2007-07-18,18.52
2007-07-19,19.05
2007-07-20,18.29
2007-07-23,18.56
2007-07-24,17.98
2007-07-25,17.14
2007-07-26,16.92
2007-07-27,16.38
2007-07-30,17.53
2007-07-31,17.26
2007-08-01,17.83
2007-08-02,18.35
2007-08-03,15.27
2007-08-06,15.96
2007-08-07,16.46
2007-08-08,17.89
2007-08-09,17.6
2007-08-10,17.64
2007-08-13,17.18
2007-08-14,16.68
2007-08-15,16.37
2007-08-16,16.35
2007-08-17,16.98
2007-08-20,17.5
2007-08-21,17.35
2007-08-22,17.45
2007-08-23,16.54
2007-08-24,16.12
2007-08-27,15.27
2007-08-28,15.1
2007-08-29,14.99
2007-08-30,14.87
2007-08-31,14.85
2007-09-04,16.09
2007-09-05,16.21
2007-09-06,16.63
2007-09-07,15.91
2007-09-10,15.65
2007-09-11,15.73
2007-09-12,16.61
2007-09-13,16.26
2007-09-14,16
2007-09-17,15.31
2007-09-18,14.87
2007-09-19,15.08
2007-09-20,14.97
2007-09-21,14.97
2007-09-24,14.86
2007-09-25,15.51
2007-09-26,15.44
2007-09-27,16.15
2007-09-28,16.44
2007-10-01,17.27
2007-10-02,17.14
2007-10-03,16.91
2007-10-04,16.73
2007-10-05,17.27
2007-10-08,17.18
2007-10-09,18.13
2007-10-10,18.87
2007-10-11,17.8
2007-10-12,18.04
2007-10-15,18.16
2007-10-16,16.95
2007-10-17,16.56
2007-10-18,16.75
2007-10-19,16.6
2007-10-22,16.7
2007-10-23,16.85
2007-10-24,17.13
2007-10-25,16.97
2007-10-26,17.23
2007-10-29,17.36
2007-10-30,17.51
2007-10-31,17.09
2007-11-01,16.76
2007-11-02,17.15
2007-11-05,17.41
2007-11-06,17.39
2007-11-07,17.02
2007-11-08,16.97
2007-11-09,16.95
2007-11-12,16.92
2007-11-13,17
2007-11-14,17
2007-11-15,16.38
2007-11-16,16.21
2007-11-19,15.9
2007-11-20,15.92
2007-11-21,16.11
2007-11-23,15.89
