"Index","WBNK.Close"
2007-01-03,15.75
2007-01-04,15.47
2007-01-05,15.75
2007-01-08,15.76
2007-01-09,15.75
2007-01-10,15.75
2007-01-11,15.37
2007-01-12,15.31
2007-01-16,15.81
2007-01-17,15.5
2007-01-18,15.4
2007-01-19,15.4
2007-01-22,15.77
2007-01-23,16.1
2007-01-24,15.7
2007-01-25,15.55
2007-01-26,15.4
2007-01-29,15.4
2007-01-30,15.95
2007-01-31,16.25
2007-02-01,16.98
2007-02-02,17
2007-02-05,17.1
2007-02-06,17.02
2007-02-07,17.2
2007-02-08,16.8
2007-02-09,16.68
2007-02-12,17
2007-02-13,16.43
2007-02-14,16.14
2007-02-15,17
2007-02-16,16.59
2007-02-20,16.35
2007-02-21,16
2007-02-22,16.35
2007-02-23,16.1
2007-02-26,16.9
2007-02-27,16
2007-02-28,16.2
2007-03-01,16.25
2007-03-02,16.09
2007-03-05,16.1
2007-03-06,16
2007-03-07,16.5
2007-03-08,16.01
2007-03-09,16.02
2007-03-12,16.02
2007-03-13,15.51
2007-03-14,15.51
2007-03-15,15.51
2007-03-16,15.4
2007-03-19,15.4
2007-03-20,15.75
2007-03-21,15.75
2007-03-22,15.51
2007-03-23,15.75
2007-03-26,15.74
2007-03-27,15.51
2007-03-28,15.51
2007-03-29,15.75
2007-03-30,15.75
2007-04-02,15.3
2007-04-03,15.34
2007-04-04,15.45
2007-04-05,15.6
2007-04-09,16
2007-04-10,15.77
2007-04-11,15.67
2007-04-12,15.5
2007-04-13,15.5
2007-04-16,15.5
2007-04-17,15.35
2007-04-18,15.36
2007-04-19,16.45
2007-04-20,15.65
2007-04-23,16.12
2007-04-24,15.55
2007-04-25,15.5
2007-04-26,15.35
2007-04-27,15.25
2007-04-30,15.63
2007-05-01,15.62
2007-05-02,15.05
2007-05-03,15
2007-05-04,14.81
2007-05-07,14.92
2007-05-08,14.82
2007-05-09,14.5
2007-05-10,14.5
2007-05-11,14.65
2007-05-14,14.65
2007-05-15,14.93
2007-05-16,14.66
2007-05-17,14.65
2007-05-18,14.65
2007-05-21,15
2007-05-22,15.27
2007-05-23,14.92
2007-05-24,14.9
2007-05-25,15.3
2007-05-29,15
2007-05-30,15
2007-05-31,16
2007-06-01,15.48
2007-06-04,15.38
2007-06-05,14.77
2007-06-06,15.29
2007-06-07,14.88
2007-06-08,15.27
2007-06-11,14.8
2007-06-12,15
2007-06-13,15.25
2007-06-14,14.88
2007-06-15,14.77
2007-06-18,14.75
2007-06-19,14.83
2007-06-20,14.7
2007-06-21,14.26
2007-06-22,14.2
2007-06-25,14.54
2007-06-26,14.7
2007-06-27,14.74
2007-06-28,14.26
2007-06-29,14.95
2007-07-02,14.55
2007-07-03,14.44
2007-07-05,14.46
2007-07-06,14.75
2007-07-09,14.98
2007-07-10,14.5
2007-07-11,14.5
2007-07-12,15.02
2007-07-13,15.5
2007-07-16,14.63
2007-07-17,14.8
2007-07-18,14.25
2007-07-19,14.5
2007-07-20,14.52
2007-07-23,14.63
2007-07-24,14.5
2007-07-25,14.55
2007-07-26,14.55
2007-07-27,14.55
2007-07-30,14.5
2007-07-31,14.25
2007-08-01,14.05
2007-08-02,14.02
2007-08-03,14.6
2007-08-06,14.5
2007-08-07,14.05
2007-08-08,14
2007-08-09,13.85
2007-08-10,13.85
2007-08-13,13.4
2007-08-14,13.3
2007-08-15,13.19
2007-08-16,13.27
2007-08-17,13
2007-08-20,13
2007-08-21,13
2007-08-22,13.5
2007-08-23,13.05
2007-08-24,12.86
2007-08-27,12.88
2007-08-28,12.85
2007-08-29,12.85
2007-08-30,13.2
