"Index","WGBS.Close"
2007-06-06,2.09
2007-06-07,2.1
2007-06-08,2.1
2007-06-11,1.95
2007-06-12,1.7
2007-06-13,2.07
2007-06-14,2.18
2007-06-15,2.2
2007-06-18,2.15
2007-06-19,2.2
2007-06-20,2.1
2007-06-21,2.15
2007-06-22,2.3
2007-06-25,2.2
2007-06-26,2.26
2007-06-27,2.3
2007-06-28,2.26
2007-06-29,2.26
2007-07-02,2.27
2007-07-03,2.25
2007-07-05,2.25
2007-07-06,2.2
2007-07-09,2.35
2007-07-10,2.25
2007-07-11,2.15
2007-07-12,2.1
2007-07-13,2.05
2007-07-16,2.15
2007-07-17,2.1
2007-07-18,2.15
2007-07-19,2.2
2007-07-20,2.2
2007-07-23,2.2
2007-07-24,2.2
2007-07-25,2
2007-07-26,2.3
2007-07-27,2.2
2007-07-30,2.3
2007-07-31,2.35
2007-08-01,2.4
2007-08-02,2.3
2007-08-03,2.3
2007-08-06,2.2
2007-08-07,2.36
2007-08-08,2.4
2007-08-09,2.4
2007-08-10,2.4
2007-08-13,2.25
2007-08-14,2.25
2007-08-15,2.28
2007-08-16,2.26
2007-08-17,2.1
2007-08-20,2.25
2007-08-21,2.15
2007-08-22,2.05
2007-08-23,2.1
2007-08-24,2.05
2007-08-27,2.05
2007-08-28,2.1
2007-08-29,2.1
2007-08-30,2.1
2007-08-31,2.05
2007-09-04,2.1
2007-09-05,1.98
2007-09-06,1.95
2007-09-07,2
2007-09-10,2
2007-09-11,2.1
2007-09-12,1.9
2007-09-13,1.9
2007-09-14,2
2007-09-17,1.9
2007-09-18,1.9
2007-09-19,1.9
2007-09-20,1.93
2007-09-21,1.9
2007-09-24,1.9
2007-09-25,1.55
2007-09-26,1.55
2007-09-27,1.6
2007-09-28,1.7
2007-10-01,2
2007-10-02,1.95
2007-10-03,1.7
2007-10-04,1.95
2007-10-05,2.28
2007-10-08,2.25
2007-10-09,2
2007-10-10,2.15
2007-10-11,2.15
2007-10-12,2.05
2007-10-15,2.12
2007-10-16,2.2
2007-10-17,2.15
2007-10-18,2.15
2007-10-19,2.15
2007-10-22,2.16
2007-10-23,2.2
2007-10-24,2.2
2007-10-25,2.16
2007-10-26,2.16
2007-10-29,2.16
2007-10-30,2
2007-10-31,2
2007-11-01,2.05
2007-11-02,2
2007-11-05,2
2007-11-06,2
2007-11-07,1.91
2007-11-08,1.6
2007-11-09,1.6
2007-11-12,1.6
2007-11-13,1.6
2007-11-14,1.56
2007-11-15,1.56
2007-11-16,1.51
2007-11-19,1.5
2007-11-20,1.35
2007-11-21,1.35
2007-11-23,1.5
2007-11-26,1.39
2007-11-27,1.21
2007-11-28,1.34
2007-11-29,1.5
2007-11-30,1.5
2007-12-03,1.6
2007-12-05,1.4
2007-12-06,1.45
2007-12-07,1.4
2007-12-10,1.4
2007-12-11,1.35
2007-12-12,1.75
2007-12-13,1.45
2007-12-17,1.47
2007-12-18,1.75
2007-12-19,1.65
2007-12-20,1.6
2007-12-21,2
2007-12-26,2
2007-12-27,2.14
2007-12-28,2
2007-12-31,2.1
2008-01-02,2.2
2008-01-03,2.2
2008-01-04,2.02
2008-01-08,2.03
2008-01-09,2.06
2008-01-10,2.15
2008-01-11,2.25
2008-01-14,2.15
2008-01-15,2.1
2008-01-16,2.06
2008-01-17,1.9
2008-01-18,2.02
2008-01-23,1.5
2008-01-24,2
2008-01-25,1.8
2008-01-28,1.8
2008-01-29,1.61
2008-01-30,1.75
2008-01-31,1.75
2008-02-01,1.85
2008-02-04,1.94
2008-02-05,1.68
2008-02-06,1.68
2008-02-07,1.55
2008-02-08,1.62
2008-02-11,1.55
2008-02-12,1.58
2008-02-13,1.85
2008-02-14,2
2008-02-15,1.8
2008-02-19,1.8
2008-02-20,2
2008-02-21,1.95
2008-02-22,1.82
2008-02-25,1.77
2008-02-26,2.04
2008-02-27,2
2008-02-28,2.05
2008-02-29,2.08
2008-03-03,1.95
2008-03-04,2
2008-03-05,2
2008-03-06,2
2008-03-07,2
2008-03-10,1.89
2008-03-11,1.92
2008-03-12,1.85
2008-03-13,1.75
2008-03-14,1.8
2008-03-17,2
2008-03-18,1.9
2008-03-19,1.65
2008-03-20,1.7
