"","names","tickers","ciks"
"1","Uranium Energy Corp.","UEC","0001334933"
"2","Cigna Corp.","CI","0000701221"
"3","PIMCO Corporate Opportunity Fund","PTY","0001190935"
"4",NA,NA,NA
"5","Beamz Interactive, Inc.","BZIC","0001423357"
"6","VistaGen Therapeutics, Inc.","VSTA","0001408802"
"7","Orange County Business Bank, NA","OCBB","N/A"
"8","Sealand Natural Resources Inc.","SLNR","0001522236"
"9","TRANS ENERGY","TENG","0000919721"
"10","Linn Co, LLC","LNCO","0001549756"
"11","First American Silver Corp.","FASV","0001462811"
"12","Dreamworks Animation SKG","DWA","N/A"
"13","Mednax","MD","0000893949"
"14","Electric Car Company, Inc.","ELCR","0001391117"
"15","Shore Community Bank","SHRC","N/A"
"16","AMP Holding, Inc.","AMPD","0001425287"
"17",NA,NA,NA
"18","ERBA Diagnostics, Inc.","ERB","N/A"
"19",NA,NA,NA
"20","Franklin Electric Co. Inc.","FELE","N/A"
