"Index","AFOP.Open","AFOP.High","AFOP.Low","AFOP.Close","AFOP.Volume"
2007-01-03,1.02,1.02,1,1.01,258984
2007-01-04,1,1.05,1,1.05,125530
2007-01-05,1.04,1.04,1,1,199674
2007-01-08,1,1.02,1,1,129768
2007-01-09,1.02,1.02,1,1,179130
2007-01-10,1,1.05,1,1.03,597560
2007-01-11,1.03,1.06,1.03,1.04,451220
2007-01-12,1.04,1.06,1.02,1.03,512560
2007-01-16,1.03,1.05,1.02,1.02,158368
2007-01-17,1.02,1.02,1,1.01,304292
2007-01-18,1.01,1.02,1,1,2298062
2007-01-19,1,1.02,1,1.02,205942
2007-01-22,1.03,1.03,1,1,116418
2007-01-23,1,1.01,1,1,814700
2007-01-24,1.01,1.02,1,1.01,80212
2007-01-25,1,1.02,1,1.01,39520
2007-01-26,1.02,1.02,1,1.02,218382
2007-01-29,1.02,1.02,1,1.01,152232
2007-01-30,1.02,1.02,1,1.02,306892
2007-01-31,1.02,1.02,1,1.02,201864
2007-02-01,1.02,1.06,1,1.05,874946
2007-02-02,1.1,1.12,1.07,1.08,1297778
2007-02-05,1.08,1.1,1.04,1.06,334800
2007-02-06,1.06,1.09,1.05,1.09,465410
2007-02-07,1.1,1.1,1.08,1.1,204320
2007-02-08,1.1,1.1,1.06,1.09,101998
2007-02-09,1.09,1.1,1.04,1.06,321794
2007-02-12,1.08,1.08,1.04,1.04,248372
2007-02-13,1.02,1.05,1.02,1.03,90396
2007-02-14,1.02,1.04,1,1.01,130484
2007-02-15,1.02,1.02,1,1,165522
2007-02-16,1,1,0.8,0.94,741520
2007-02-20,0.94,0.99,0.94,0.98,261366
2007-02-21,0.96,1.01,0.96,1,286374
2007-02-22,1,1.02,1,1,89924
2007-02-23,1,1.02,0.98,1.01,289266
2007-02-26,1.02,1.02,1,1.02,25782
2007-02-27,1,1.01,0.99,1,762372
2007-02-28,1,1.01,0.99,1,355898
2007-03-01,1,1.01,1,1,187556
2007-03-02,1,1.01,0.98,1,81686
2007-03-05,0.99,0.99,0.98,0.98,552412
2007-03-06,0.98,1,0.98,0.98,117166
2007-03-07,0.98,1,0.98,0.99,57140
2007-03-08,0.98,0.99,0.98,0.98,43698
2007-03-09,0.98,0.98,0.94,0.95,1476784
2007-03-12,0.95,0.96,0.95,0.96,133502
2007-03-13,0.96,0.98,0.96,0.97,24724
2007-03-14,0.96,0.99,0.95,0.96,153816
2007-03-15,0.96,0.98,0.96,0.98,48700
2007-03-16,0.97,0.97,0.95,0.96,85892
2007-03-19,0.96,0.97,0.95,0.96,83330
2007-03-20,0.95,0.96,0.95,0.95,41786
2007-03-21,0.95,0.97,0.95,0.96,353774
2007-03-22,0.97,0.97,0.96,0.96,21320
2007-03-23,0.97,0.97,0.96,0.97,42148
2007-03-26,0.96,0.99,0.96,0.96,205946
2007-03-27,0.96,0.98,0.95,0.95,54786
2007-03-28,0.95,0.98,0.95,0.96,15874
2007-03-29,0.96,0.96,0.95,0.96,9400
2007-03-30,0.95,0.96,0.95,0.95,47366
2007-04-02,0.95,0.98,0.95,0.96,94316
2007-04-03,0.98,1,0.98,0.98,277566
2007-04-04,0.98,1,0.98,0.98,154392
2007-04-05,0.98,1,0.98,0.98,91612
2007-04-09,1,1,0.98,1,93784
2007-04-10,0.98,1,0.98,0.98,76214
2007-04-11,0.96,0.99,0.96,0.98,39110
2007-04-12,0.98,0.98,0.98,0.98,31800
2007-04-13,0.98,1,0.98,0.98,229552
2007-04-16,0.98,1,0.98,0.98,102554
2007-04-17,0.98,0.98,0.98,0.98,78416
2007-04-18,0.98,0.98,0.96,0.98,95418
2007-04-19,0.98,0.98,0.98,0.98,63138
2007-04-20,0.98,0.98,0.98,0.98,16538
2007-04-23,0.98,0.98,0.98,0.98,34810
2007-04-24,0.98,0.98,0.98,0.98,260220
2007-04-25,0.98,0.98,0.98,0.98,224450
2007-04-26,0.98,1.04,0.98,1.01,439544
2007-04-27,1,1,0.98,1,111184
2007-04-30,1,1.01,0.99,1,121864
2007-05-01,1.01,1.01,1,1,69324
2007-05-02,1,1.01,1,1,81166
2007-05-03,1,1,1,1,79720
2007-05-04,1,1,0.96,0.97,412280
2007-05-07,0.96,0.96,0.89,0.9,252892
2007-05-08,0.92,0.92,0.86,0.88,236736
2007-05-09,0.86,0.86,0.84,0.84,226922
2007-05-10,0.84,0.9,0.84,0.84,98336
2007-05-11,0.84,0.86,0.84,0.84,98784
2007-05-14,0.86,0.86,0.84,0.85,56840
2007-05-15,0.86,0.86,0.85,0.85,108876
2007-05-16,0.86,0.87,0.83,0.86,90180
2007-05-17,0.87,0.87,0.82,0.86,63710
2007-05-18,0.86,0.86,0.84,0.85,80288
2007-05-21,0.84,0.86,0.84,0.86,53840
2007-05-22,0.85,0.86,0.84,0.85,64888
2007-05-23,0.84,0.88,0.84,0.86,81728
2007-05-24,0.86,0.86,0.86,0.86,57482
2007-05-25,0.88,0.88,0.86,0.86,53348
2007-05-29,0.86,0.86,0.85,0.86,29330
2007-05-30,0.86,0.86,0.86,0.86,59688
2007-05-31,0.86,0.86,0.86,0.86,32900
2007-06-01,0.86,0.88,0.86,0.88,109632
2007-06-04,0.88,0.88,0.86,0.86,34316
2007-06-05,0.86,0.88,0.86,0.88,35376
2007-06-06,0.86,0.87,0.86,0.87,23414
2007-06-07,0.86,0.88,0.85,0.88,90934
2007-06-08,0.88,0.88,0.86,0.87,29540
2007-06-11,0.86,0.88,0.86,0.86,24258
2007-06-12,0.86,0.87,0.86,0.86,18400
2007-06-13,0.86,0.89,0.83,0.85,169070
2007-06-14,0.86,0.88,0.86,0.88,24440
2007-06-15,0.88,0.88,0.86,0.88,32800
2007-06-18,0.86,0.9,0.82,0.86,457030
2007-06-19,0.88,0.9,0.85,0.88,102252
2007-06-20,0.86,0.9,0.86,0.88,50152
2007-06-21,0.9,0.92,0.88,0.92,87732
2007-06-22,0.92,0.92,0.9,0.9,24830
