"Index","ATML.Open","ATML.High","ATML.Low","ATML.Close","ATML.Volume"
2007-01-03,6.14,6.25,5.97,6.1,6983657
2007-01-04,6.05,6.24,6,6.17,7846731
2007-01-05,6.13,6.2,6.05,6.11,5100711
2007-01-08,6.11,6.2,6.08,6.15,9292851
2007-01-09,6.13,6.29,6.11,6.24,10575839
2007-01-10,6.2,6.3,6.16,6.3,7222653
2007-01-11,6.46,6.49,6.01,6.07,14612000
2007-01-12,6.08,6.25,6.06,6.25,9840852
2007-01-16,6.25,6.31,6.11,6.2,6554744
2007-01-17,6.17,6.24,6.09,6.14,6829540
2007-01-18,6.07,6.12,5.9,6,11269087
2007-01-19,5.96,6.01,5.84,5.96,8198981
2007-01-22,5.99,6,5.78,5.79,8230404
2007-01-23,5.79,5.85,5.68,5.8,7202345
2007-01-24,5.8,5.98,5.71,5.96,7690354
2007-01-25,5.91,6,5.75,5.84,5980527
2007-01-26,5.87,5.95,5.77,5.91,8107301
2007-01-29,5.92,5.97,5.81,5.9,9313442
2007-01-30,5.9,5.98,5.86,5.97,5044097
2007-01-31,5.94,6.04,5.89,5.98,8009087
2007-02-01,6.04,6.09,5.83,5.83,9449689
2007-02-02,5.82,5.93,5.81,5.87,6477829
2007-02-05,5.84,5.96,5.81,5.91,6654583
2007-02-06,5.92,5.94,5.65,5.77,9098395
2007-02-07,5.82,5.92,5.75,5.8,6399729
2007-02-08,5.81,5.88,5.65,5.7,7655446
2007-02-09,5.73,5.74,5.52,5.55,6478837
2007-02-12,5.59,5.65,5.44,5.62,5529554
2007-02-13,5.61,5.76,5.57,5.75,7361934
2007-02-14,5.76,5.77,5.55,5.59,9285390
2007-02-15,5.63,5.79,5.61,5.78,8307132
2007-02-16,5.76,5.85,5.66,5.85,7850001
2007-02-20,5.8,5.84,5.7,5.78,3313790
2007-02-21,5.75,5.81,5.7,5.72,6034148
2007-02-22,5.78,5.81,5.7,5.77,4539854
2007-02-23,5.75,5.8,5.69,5.72,6828281
2007-02-26,5.73,5.85,5.7,5.8,7608285
2007-02-27,5.7,5.73,5.47,5.47,6392859
2007-02-28,5.48,5.65,5.45,5.54,6735156
2007-03-01,5.48,5.6,5.32,5.52,4427933
2007-03-02,5.48,5.48,5.26,5.33,8092221
2007-03-05,5.23,5.35,5.2,5.27,4582093
2007-03-06,5.3,5.41,5.27,5.34,4559196
2007-03-07,5.31,5.36,5.15,5.2,8013230
2007-03-08,5.25,5.41,5.22,5.41,5104659
2007-03-09,5.4,5.46,5.35,5.37,3942309
2007-03-12,5.34,5.41,5.28,5.3,3102762
