"Index","ARIA.Open","ARIA.High","ARIA.Low","ARIA.Close","ARIA.Volume"
2007-01-03,5.17,5.23,5.01,5.11,720352
2007-01-04,5.11,5.19,5.07,5.18,589000
2007-01-05,5.15,5.33,5.14,5.17,681851
2007-01-08,5.16,5.19,5.04,5.12,447337
2007-01-09,5.12,5.45,5.1,5.39,974170
2007-01-10,5.34,5.43,5.15,5.34,460662
2007-01-11,5.36,5.44,5.24,5.4,695738
2007-01-12,5.43,5.52,5.34,5.52,552680
2007-01-16,5.55,5.64,5.37,5.48,550450
2007-01-17,5.43,5.6,5.39,5.42,520093
2007-01-18,5.42,5.44,5.19,5.22,494503
2007-01-19,5.2,5.35,5.15,5.33,299072
2007-01-22,5.3,5.3,5.09,5.26,405097
2007-01-23,5.24,5.3,5.16,5.2,297898
2007-01-24,5.2,5.4,5.15,5.32,262267
2007-01-25,5.31,5.39,5.2,5.27,303884
2007-01-26,5.3,5.34,5.02,5.3,642503
2007-01-29,5.22,5.35,5.17,5.27,255871
2007-01-30,5.3,5.34,5.25,5.31,271816
2007-01-31,5.26,5.26,5.03,5.12,1343515
2007-02-01,5.15,5.27,5.1,5.12,599396
2007-02-02,5.14,5.16,4.99,5.04,731113
2007-02-05,5.01,5.09,4.99,5,346785
2007-02-06,5.05,5.07,4.79,4.87,720155
2007-02-07,4.81,4.94,4.8,4.84,428056
2007-02-08,4.84,4.92,4.77,4.9,691208
2007-02-09,4.93,5.1,4.85,4.96,398231
2007-02-12,5.2,5.39,5.14,5.25,932560
2007-02-13,5.24,5.35,5.13,5.19,499658
2007-02-14,5.25,5.68,5.2,5.52,1557579
2007-02-15,5.5,5.67,5.17,5.23,2565987
2007-02-16,5.25,5.25,4.98,5.05,2255126
2007-02-20,5.08,5.45,5.02,5.45,1475372
2007-02-21,5.44,5.5,5.31,5.43,677572
2007-02-22,5.42,5.49,5.29,5.44,333320
2007-02-23,5.45,5.45,5.29,5.3,411957
2007-02-26,5.34,5.5,5.22,5.27,546549
2007-02-27,5.19,5.23,4.88,4.93,941597
2007-02-28,4.96,5,4.77,4.83,850623
2007-03-01,4.8,4.84,4.6,4.71,792683
2007-03-02,4.67,4.75,4.39,4.41,1267226
2007-03-05,4.42,4.58,4.25,4.42,649372
2007-03-06,4.49,4.64,4.49,4.64,545168
2007-03-07,4.65,4.65,4.51,4.54,355744
2007-03-08,4.59,4.65,4.38,4.41,551233
2007-03-09,4.45,4.58,4.35,4.46,799050
2007-03-12,4.48,4.57,4.35,4.48,403982
2007-03-13,4.43,4.46,4.29,4.3,571685
2007-03-14,4.28,4.39,4.25,4.29,593273
2007-03-15,4.31,4.33,4.19,4.22,488652
2007-03-16,4.21,4.28,4.07,4.1,1257675
2007-03-19,4.13,4.3,4.13,4.26,1325400
2007-03-20,4.25,4.32,4.23,4.28,1029181
2007-03-21,4.3,4.4,4.25,4.36,1323245
2007-03-22,4.39,4.51,4.36,4.48,1587084
2007-03-23,4.49,4.54,4.39,4.53,748647
2007-03-26,4.5,4.55,4.37,4.4,514232
2007-03-27,4.37,4.42,4.33,4.35,328994
2007-03-28,4.33,4.38,4.2,4.31,512246
2007-03-29,4.34,4.44,4.27,4.38,540390
2007-03-30,4.39,4.5,4.38,4.49,492018
2007-04-02,4.49,4.61,4.39,4.43,533545
2007-04-03,4.47,4.61,4.43,4.51,524586
2007-04-04,4.5,4.6,4.43,4.55,369804
2007-04-05,4.56,4.98,4.55,4.94,1242301
2007-04-09,4.38,4.46,4.19,4.32,1485559
2007-04-10,4.34,4.43,4.32,4.38,680608
2007-04-11,4.39,4.4,4.25,4.26,679742
2007-04-12,4.26,4.39,4.26,4.35,576538
2007-04-13,4.32,4.44,4.26,4.44,525805
2007-04-16,4.67,4.68,4.47,4.49,659419
2007-04-17,4.52,4.57,4.45,4.45,368443
2007-04-18,4.45,4.49,4.35,4.42,434089
2007-04-19,4.4,4.47,4.36,4.4,410190
2007-04-20,4.49,4.53,4.43,4.5,422481
2007-04-23,4.47,4.64,4.47,4.52,295861
2007-04-24,4.61,4.66,4.5,4.64,664257
2007-04-25,4.64,4.7,4.51,4.54,553207
2007-04-26,4.54,4.64,4.37,4.63,1863609
2007-04-27,4.63,4.9,4.62,4.86,1759285
2007-04-30,4.86,4.95,4.61,4.61,1231588
2007-05-01,4.66,4.95,4.48,4.9,1303136
2007-05-02,4.96,5.07,4.9,4.95,1260541
2007-05-03,4.97,5.02,4.84,4.86,459836
2007-05-04,4.88,4.94,4.8,4.91,557852
2007-05-07,4.91,5.11,4.9,4.97,771968
2007-05-08,5.07,5.07,4.75,5.07,1085485
2007-05-09,5.05,5.15,4.98,5.02,616234
2007-05-10,5,5.24,4.98,5.11,1226430
2007-05-11,5.12,5.21,5.07,5.16,979201
2007-05-14,5.17,5.2,5.09,5.13,862513
2007-05-15,5.11,5.16,5.05,5.06,695313
2007-05-16,5.06,5.08,4.98,5.08,778941
2007-05-17,5.04,5.08,4.98,5,527127
2007-05-18,5.01,5.18,4.97,5.14,884862
2007-05-21,5.15,5.23,5.11,5.23,933159
2007-05-22,5.23,5.25,5.18,5.23,535838
2007-05-23,5.25,5.5,5.22,5.4,1118559
2007-05-24,5.35,5.4,5.22,5.26,752395
2007-05-25,5.35,5.42,5.28,5.34,827760
2007-05-29,5.39,5.4,5.24,5.36,603410
2007-05-30,5.33,5.51,5.21,5.49,915608
2007-05-31,5.53,5.66,5.35,5.43,1028224
2007-06-01,5.46,5.46,5.31,5.44,993165
2007-06-04,5.56,5.56,5.1,5.11,1952580
2007-06-05,5.12,5.6,5.01,5.5,1740526
2007-06-06,5.5,5.5,5.17,5.22,1194048
2007-06-07,5.21,5.55,5.15,5.42,1946157
2007-06-08,5.49,5.5,5.28,5.37,1078069
2007-06-11,5.36,5.67,5.35,5.61,1160121
2007-06-12,5.55,5.59,5.3,5.3,1282985
2007-06-13,5.32,5.56,5.3,5.53,1028447
2007-06-14,5.53,5.72,5.49,5.68,1467819
2007-06-15,5.75,5.79,5.61,5.65,1169807
2007-06-18,5.69,5.73,5.48,5.71,1084288
2007-06-19,5.71,5.8,5.3,5.46,2913320
2007-06-20,5.48,5.65,5.3,5.63,1909064
2007-06-21,5.63,5.63,5.42,5.53,912945
2007-06-22,5.51,5.74,5.35,5.74,1709190
2007-06-25,5.69,5.71,5.52,5.57,996103
2007-06-26,5.59,5.64,5.41,5.43,698705
2007-06-27,5.49,5.68,5.45,5.67,842131
2007-06-28,5.63,5.69,5.47,5.49,673817
2007-06-29,5.56,5.6,5.43,5.49,850869
2007-07-02,5.4,5.75,5.39,5.66,1275066
2007-07-03,5.64,5.8,5.56,5.7,692481
2007-07-05,5.68,5.79,5.57,5.62,813515
2007-07-06,5.66,6,5.65,5.94,2102026
2007-07-09,5.94,6.21,5.81,6.06,5061188
2007-07-10,5.99,6.03,5.89,5.98,2951949
2007-07-11,5.93,6.08,5.9,6.05,1679256
2007-07-12,6.35,6.4,5.56,5.77,27154361
2007-07-13,5.77,5.84,5.55,5.57,5199218
2007-07-16,5.51,5.59,5.16,5.16,5007282
2007-07-17,5.28,5.45,5.07,5.38,3383796
2007-07-18,5.34,5.38,5.16,5.23,1097096
2007-07-19,5.28,5.34,5.2,5.31,1139395
2007-07-20,5.3,5.31,5.1,5.12,1354853
2007-07-23,5.12,5.17,4.87,4.87,2874589
2007-07-24,4.88,4.97,4.65,4.67,2317602
2007-07-25,4.7,4.77,4.55,4.65,2801848
2007-07-26,4.58,4.76,4.51,4.65,1753554
2007-07-27,4.66,4.79,4.5,4.5,1219500
2007-07-30,4.5,4.57,4.34,4.37,2312676
2007-07-31,4.4,4.55,4.34,4.39,1630846
2007-08-01,4.4,4.53,4.24,4.32,1574471
2007-08-02,4.33,4.38,4.04,4.25,2146867
2007-08-03,4.29,4.29,4.07,4.12,2168467
2007-08-06,4.14,4.15,3.84,4.05,4115557
2007-08-07,4.01,4.23,3.91,3.97,3597470
2007-08-08,4.01,4.46,3.99,4.27,3991569
2007-08-09,4.11,4.49,4.1,4.45,2502622
2007-08-10,4.35,4.96,4.3,4.79,2344389
2007-08-13,4.8,4.88,4.45,4.5,1504291
2007-08-14,4.5,4.54,4.33,4.34,421034
2007-08-15,4.32,4.56,4.3,4.35,700508
2007-08-16,4.3,4.5,4.11,4.5,1052080
2007-08-17,4.67,4.77,4.42,4.63,1177674
2007-08-20,4.63,4.76,4.5,4.64,842339
2007-08-21,4.58,4.75,4.56,4.63,702558
2007-08-22,4.67,4.73,4.58,4.7,610045
2007-08-23,4.71,4.75,4.61,4.61,466005
2007-08-24,4.61,4.77,4.6,4.74,738047
2007-08-27,4.71,4.75,4.58,4.64,573643
2007-08-28,4.6,4.65,4.45,4.46,531708
2007-08-29,4.49,4.76,4.48,4.75,1013594
2007-08-30,4.7,4.91,4.69,4.82,956415
2007-08-31,5.02,5.07,4.87,4.97,1085799
2007-09-04,4.96,5.05,4.92,5.05,952201
2007-09-05,5.04,5.04,4.9,4.95,741491
2007-09-06,4.95,4.98,4.83,4.87,487103
2007-09-07,4.86,4.89,4.71,4.73,727210
2007-09-10,5.03,5.16,4.76,4.95,1619817
2007-09-11,4.96,5.04,4.88,4.99,919738
2007-09-12,4.99,5.02,4.9,4.92,823013
2007-09-13,4.94,4.96,4.8,4.82,721888
2007-09-14,4.78,4.82,4.64,4.78,553648
2007-09-17,4.79,4.79,4.63,4.66,341162
2007-09-18,4.67,4.73,4.49,4.72,1375174
2007-09-19,4.72,4.86,4.64,4.84,968041
2007-09-20,4.8,4.92,4.74,4.78,401519
2007-09-21,4.83,4.9,4.77,4.88,773426
2007-09-24,4.89,5,4.83,4.99,756682
