"Index","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume"
2007-01-03,13.97,14.08,13.07,13.35,1208836
2007-01-04,13.44,13.66,13.31,13.6,506204
2007-01-05,13.55,13.71,13.46,13.64,435854
2007-01-08,13.62,13.76,13.2,13.68,635508
2007-01-09,13.66,13.87,13.57,13.7,982330
2007-01-10,13.58,13.94,13.51,13.89,541463
2007-01-11,13.94,14.22,13.91,14.1,417582
2007-01-12,14.19,14.73,14.19,14.51,611705
2007-01-16,14.51,14.72,14.22,14.35,455080
2007-01-17,14.32,14.54,14.23,14.27,554532
2007-01-18,14.23,14.47,14.23,14.35,407811
2007-01-19,14.31,14.49,14.22,14.44,314040
2007-01-22,14.4,14.42,13.97,14,346799
2007-01-23,14.02,14.23,13.97,14.11,546615
2007-01-24,14.16,14.25,14.07,14.17,266783
2007-01-25,14.22,14.25,13.84,14,405099
2007-01-26,14.03,14.17,13.75,13.99,487877
2007-01-29,14.08,14.08,13.53,13.77,602581
2007-01-30,15.76,17.01,15.76,16.69,8809415
2007-01-31,16.52,16.91,15.87,16.56,2088719
2007-02-01,16.03,16.65,15.98,16.61,1826049
2007-02-02,16.19,16.55,16.16,16.47,783159
2007-02-05,16.11,16.4,16.1,16.22,523743
2007-02-06,16.21,16.7,16.15,16.33,1095250
2007-02-07,16.39,16.59,16.25,16.42,553930
2007-02-08,16.4,16.66,16.22,16.52,716547
2007-02-09,16.56,16.62,16.01,16.22,499788
2007-02-12,16.99,17,16.3,16.75,1088563
2007-02-13,16.87,17.16,16.6,16.99,1243132
2007-02-14,16.96,17.42,16.75,16.96,1144082
2007-02-15,16.97,17.55,16.9,17.46,1075017
2007-02-16,17.45,17.63,17.25,17.56,718036
2007-02-20,17.48,17.95,17.46,17.88,731543
2007-02-21,17.73,17.89,17.51,17.58,730061
2007-02-22,17.66,17.77,17.3,17.51,676446
2007-02-23,17.43,17.43,17.09,17.26,363064
2007-02-26,17.19,17.34,16.92,16.98,587740
2007-02-27,16.71,16.87,16.3,16.33,834118
2007-02-28,16.31,16.52,15.9,16.42,654412
2007-03-01,16.08,16.71,16.01,16.31,991304
2007-03-02,16.29,16.52,16.28,16.46,879858
2007-03-05,16.39,16.66,16.2,16.23,972070
2007-03-06,16.44,16.8,16.29,16.4,1026562
2007-03-07,16.42,16.68,16.05,16.07,852477
2007-03-08,16.26,16.58,16.23,16.52,629026
2007-03-09,16.62,16.63,16.36,16.59,418000
2007-03-12,16.55,16.91,16.55,16.79,699932
2007-03-13,16.74,16.97,16.11,16.22,457432
2007-03-14,16.18,16.83,16.18,16.7,545654
2007-03-15,16.73,16.95,16.49,16.58,273267
2007-03-16,16.57,16.66,15.97,16,765385
2007-03-19,16.1,16.5,16,16.38,371270
2007-03-20,16.38,16.44,15.99,16.06,472637
2007-03-21,16.07,16.48,15.97,16.45,392248
2007-03-22,16.54,16.54,16.16,16.43,358555
2007-03-23,16.44,16.5,16.26,16.43,328366
2007-03-26,16.38,16.53,16.1,16.25,404522
2007-03-27,16.17,16.32,16.03,16.22,428564
2007-03-28,16.08,16.51,16.07,16.25,879898
2007-03-29,16.31,16.32,15.94,16.15,779514
2007-03-30,16.13,16.13,15.72,15.86,435313
2007-04-02,15.88,15.89,15.45,15.74,869239
2007-04-03,15.74,16.66,15.7,16.57,829372
2007-04-04,16.53,16.67,16.29,16.54,296472
2007-04-05,16.61,16.72,16.43,16.7,257324
2007-04-09,16.7,16.73,16.32,16.62,505276
2007-04-10,16.53,17.29,16.53,17.21,856758
2007-04-11,17.28,17.28,16.63,16.82,369116
2007-04-12,16.75,16.92,16.58,16.69,562918
2007-04-13,16.66,16.92,16.59,16.92,299240
2007-04-16,16.95,17.09,16.84,17.06,429806
2007-04-17,17.04,17.1,16.8,16.93,739048
2007-04-18,16.82,16.94,16.55,16.56,484726
2007-04-19,16.54,16.63,15.88,15.95,678590
2007-04-20,16.15,17.06,16,16.75,1108483
2007-04-23,17.58,17.75,17.02,17.45,973401
2007-04-24,17.34,17.45,17,17.31,534840
2007-04-25,17.46,17.79,17.03,17.69,815317
2007-04-26,22.18,23.94,22.17,23.6,10308298
2007-04-27,23.57,24.28,22.96,23.87,2147361
2007-04-30,22.95,23.37,22.57,22.66,2823789
2007-05-01,22.7,23.95,22.6,23.9,2205056
2007-05-02,23.86,24.01,23.25,23.4,1587290
